Time (s),Data
0.355,"20,571,27.91"
0.381,"40,575,28.10"
0.391,"60,575,28.10"
0.42,"80,571,27.91"
0.436,"100,568,27.76"
0.452,"120,568,27.76"
0.472,"140,562,27.47"
0.498,"160,552,26.98"
0.515,"180,540,26.39"
0.531,"200,536,26.20"
0.552,"220,537,26.25"
0.578,"240,531,25.95"
0.6,"260,502,24.54"
0.618,"280,466,22.78"
0.634,"300,443,21.65"
0.66,"320,419,20.48"
0.676,"340,410,20.04"
0.692,"360,400,19.55"
0.712,"380,426,20.82"
0.74,"400,460,22.48"
0.757,"420,492,24.05"
0.773,"440,518,25.32"
0.791,"460,539,26.34"
0.815,"480,557,27.22"
0.836,"500,564,27.57"
0.852,"520,572,27.96"
0.87,"540,581,28.40"
0.893,"560,588,28.74"
0.916,"580,589,28.79"
0.933,"600,594,29.03"
0.95,"620,594,29.03"
0.971,"640,600,29.33"
0.996,"660,598,29.23"
1.011,"680,611,29.86"
1.031,"700,636,31.09"
1.059,"720,637,31.13"
1.076,"740,627,30.65"
1.092,"760,618,30.21"
1.116,"780,612,29.91"
1.136,"800,609,29.77"
1.155,"820,606,29.62"
1.173,"840,603,29.47"
1.19,"860,596,29.13"
1.209,"880,587,28.69"
1.235,"900,580,28.35"
1.252,"920,572,27.96"
1.27,"940,567,27.71"
1.298,"960,561,27.42"
1.316,"980,554,27.08"
1.331,"1000,547,26.74"
1.35,"1020,540,26.39"
1.378,"1040,533,26.05"
1.399,"1060,526,25.71"
1.41,"1080,521,25.46"
1.43,"1100,510,24.93"
1.457,"1120,497,24.29"
1.475,"1140,475,23.22"
1.489,"1160,446,21.80"
1.509,"1180,413,20.19"
1.538,"1200,382,18.67"
1.555,"1220,350,17.11"
1.57,"1240,337,16.47"
1.589,"1260,336,16.42"
1.617,"1280,350,17.11"
1.633,"1300,357,17.45"
1.649,"1320,352,17.20"
1.67,"1340,347,16.96"
1.696,"1360,346,16.91"
1.716,"1380,357,17.45"
1.728,"1400,388,18.96"
1.749,"1420,407,19.89"
1.776,"1440,419,20.48"
1.791,"1460,424,20.72"
1.809,"1480,426,20.82"
1.833,"1500,425,20.77"
1.855,"1520,425,20.77"
1.871,"1540,432,21.11"
1.888,"1560,440,21.51"
1.908,"1580,447,21.85"
1.935,"1600,451,22.04"
1.95,"1620,454,22.19"
1.971,"1640,460,22.48"
1.997,"1660,467,22.83"
2.015,"1680,473,23.12"
2.029,"1700,480,23.46"
2.049,"1720,485,23.70"
2.077,"1740,489,23.90"
2.093,"1760,492,24.05"
2.109,"1780,492,24.05"
2.128,"1800,490,23.95"
2.156,"1820,486,23.75"
2.174,"1840,485,23.70"
2.189,"1860,483,23.61"
2.207,"1880,485,23.70"
2.236,"1900,489,23.90"
2.252,"1920,494,24.14"
2.271,"1940,499,24.39"
2.287,"1960,500,24.44"
2.307,"1980,503,24.58"
2.333,"2000,503,24.58"
2.349,"2020,505,24.68"
2.371,"2040,507,24.78"
2.386,"2060,509,24.88"
2.412,"2080,514,25.12"
2.429,"2100,517,25.27"
2.453,"2120,520,25.42"
2.471,"2140,519,25.37"
2.491,"2160,519,25.37"
2.507,"2180,516,25.22"
2.525,"2200,516,25.22"
2.554,"2220,519,25.37"
2.572,"2240,524,25.61"
2.589,"2260,533,26.05"
2.605,"2280,539,26.34"
2.634,"2300,548,26.78"
2.65,"2320,554,27.08"
2.672,"2340,563,27.52"
2.685,"2360,579,28.30"
2.714,"2380,590,28.84"
2.731,"2400,603,29.47"
2.747,"2420,609,29.77"
2.772,"2440,615,30.06"
2.784,"2460,625,30.55"
2.81,"2480,635,31.04"
2.827,"2500,643,31.43"
2.845,"2520,640,31.28"
2.872,"2540,638,31.18"
2.89,"2560,630,30.79"
2.907,"2580,622,30.40"
2.925,"2600,623,30.45"
2.946,"2620,623,30.45"
2.972,"2640,622,30.40"
2.985,"2660,628,30.69"
3.004,"2680,634,30.99"
3.033,"2700,641,31.33"
3.051,"2720,655,32.01"
3.072,"2740,672,32.84"
3.083,"2760,692,33.82"
3.112,"2780,699,34.16"
3.128,"2800,709,34.65"
3.143,"2820,717,35.04"
3.172,"2840,726,35.48"
3.191,"2860,738,36.07"
3.207,"2880,756,36.95"
3.223,"2900,789,38.56"
3.243,"2920,848,41.45"
3.272,"2940,990,48.39"
3.288,"2960,955,46.68"
3.303,"2980,979,47.85"
3.323,"3000,946,46.24"
3.351,"3020,912,44.57"
3.367,"3040,904,44.18"
3.382,"3060,900,43.99"
3.406,"3080,938,45.85"
3.43,"3100,1023,50.00"
3.446,"3120,1023,50.00"
3.472,"3140,1023,50.00"
3.485,"3160,447,21.85"
3.502,"3180,2,0.10"
3.526,"3200,0,0.00"
3.543,"3220,0,0.00"
3.566,"3240,0,0.00"
3.58,"3260,0,0.00"
3.607,"3280,0,0.00"
3.623,"3300,0,0.00"
3.639,"3320,1,0.05"
3.666,"3340,0,0.00"
3.686,"3360,0,0.00"
3.701,"3380,0,0.00"
3.718,"3400,0,0.00"
3.738,"3420,0,0.00"
3.765,"3440,0,0.00"
3.779,"3460,0,0.00"
3.798,"3480,0,0.00"
3.827,"3500,0,0.00"
3.844,"3520,0,0.00"
3.859,"3540,0,0.00"
3.878,"3560,0,0.00"
3.906,"3580,0,0.00"
3.922,"3600,0,0.00"
3.938,"3620,0,0.00"
3.958,"3640,0,0.00"
3.987,"3660,0,0.00"
4.003,"3680,0,0.00"
4.018,"3700,0,0.00"
4.037,"3720,0,0.00"
4.066,"3740,0,0.00"
4.082,"3760,0,0.00"
4.097,"3780,0,0.00"
4.117,"3800,0,0.00"
4.145,"3820,0,0.00"
4.161,"3840,0,0.00"
4.177,"3860,0,0.00"
4.196,"3880,0,0.00"
4.225,"3900,0,0.00"
4.242,"3920,0,0.00"
4.256,"3940,0,0.00"
4.276,"3960,0,0.00"
4.304,"3980,0,0.00"
4.32,"4000,0,0.00"
4.337,"4020,0,0.00"
4.355,"4040,0,0.00"
4.384,"4060,0,0.00"
4.4,"4080,0,0.00"
4.416,"4100,0,0.00"
4.447,"4120,233,11.39"
4.464,"4140,121,5.91"
4.479,"4160,93,4.55"
4.504,"4180,45,2.20"
4.517,"4200,30,1.47"
4.542,"4220,21,1.03"
4.559,"4240,24,1.17"
4.575,"4260,39,1.91"
4.596,"4280,50,2.44"
4.623,"4300,64,3.13"
4.639,"4320,77,3.76"
4.655,"4340,92,4.50"
4.676,"4360,83,4.06"
4.703,"4380,84,4.11"
4.72,"4400,91,4.45"
4.734,"4420,106,5.18"
4.757,"4440,119,5.82"
4.783,"4460,130,6.35"
4.799,"4480,142,6.94"
4.816,"4500,152,7.43"
4.836,"4520,163,7.97"
4.865,"4540,172,8.41"
4.879,"4560,180,8.80"
4.896,"4580,186,9.09"
4.925,"4600,195,9.53"
4.942,"4620,202,9.87"
4.965,"4640,209,10.22"
4.977,"4660,215,10.51"
5.006,"4680,219,10.70"
5.021,"4700,226,11.05"
5.042,"4720,234,11.44"
5.056,"4740,239,11.68"
5.085,"4760,242,11.83"
5.101,"4780,245,11.97"
5.117,"4800,249,12.17"
5.136,"4820,254,12.41"
5.164,"4840,258,12.61"
5.18,"4860,263,12.85"
5.197,"4880,265,12.95"
5.216,"4900,269,13.15"
5.244,"4920,274,13.39"
5.26,"4940,279,13.64"
5.276,"4960,282,13.78"
5.295,"4980,288,14.08"
5.324,"5000,292,14.27"
5.339,"5020,293,14.32"
5.355,"5040,297,14.52"
5.377,"5060,300,14.66"
5.404,"5080,301,14.71"
5.419,"5100,304,14.86"
5.436,"5120,306,14.96"
5.455,"5140,309,15.10"
5.483,"5160,309,15.10"
5.498,"5180,310,15.15"
5.524,"5200,311,15.20"
5.539,"5220,313,15.30"
5.562,"5240,316,15.44"
5.577,"5260,317,15.49"
5.594,"5280,320,15.64"
5.616,"5300,321,15.69"
5.641,"5320,322,15.74"
5.657,"5340,323,15.79"
5.677,"5360,324,15.84"
5.696,"5380,327,15.98"
5.722,"5400,328,16.03"
5.737,"5420,332,16.23"
5.753,"5440,333,16.28"
5.777,"5460,336,16.42"
5.801,"5480,338,16.52"
5.816,"5500,339,16.57"
5.834,"5520,341,16.67"
5.854,"5540,343,16.76"
5.881,"5560,344,16.81"
5.898,"5580,343,16.76"
5.913,"5600,344,16.81"
5.933,"5620,345,16.86"
5.962,"5640,346,16.91"
5.978,"5660,349,17.06"
5.993,"5680,349,17.06"
6.016,"5700,350,17.11"
6.041,"5720,354,17.30"
6.056,"5740,356,17.40"
6.078,"5760,357,17.45"
6.092,"5780,358,17.50"
6.121,"5800,359,17.55"
6.137,"5820,362,17.69"
6.152,"5840,363,17.74"
6.178,"5860,366,17.89"
6.201,"5880,365,17.84"
6.217,"5900,366,17.89"
6.235,"5920,368,17.99"
6.255,"5940,367,17.94"
6.279,"5960,370,18.08"
6.295,"5980,371,18.13"
6.312,"6000,372,18.18"
6.332,"6020,374,18.28"
6.36,"6040,375,18.33"
6.379,"6060,378,18.48"
6.391,"6080,379,18.52"
6.412,"6100,381,18.62"
6.438,"6120,382,18.67"
6.455,"6140,382,18.67"
6.479,"6160,384,18.77"
6.491,"6180,383,18.72"
6.518,"6200,385,18.82"
6.535,"6220,385,18.82"
6.56,"6240,386,18.87"
6.58,"6260,388,18.96"
6.599,"6280,389,19.01"
6.614,"6300,389,19.01"
6.631,"6320,391,19.11"
6.651,"6340,393,19.21"
6.678,"6360,393,19.21"
6.694,"6380,395,19.31"
6.71,"6400,396,19.35"
6.73,"6420,398,19.45"
6.758,"6440,398,19.45"
6.78,"6460,400,19.55"
6.791,"6480,401,19.60"
6.815,"6500,402,19.65"
6.838,"6520,404,19.75"
6.854,"6540,404,19.75"
6.87,"6560,406,19.84"
6.89,"6580,407,19.89"
6.917,"6600,409,19.99"
6.934,"6620,408,19.94"
6.95,"6640,410,20.04"
6.969,"6660,411,20.09"
6.997,"6680,414,20.23"
7.015,"6700,413,20.19"
7.029,"6720,414,20.23"
7.05,"6740,414,20.23"
7.076,"6760,416,20.33"
7.093,"6780,418,20.43"
7.116,"6800,418,20.43"
7.132,"6820,419,20.48"
7.158,"6840,420,20.53"
7.174,"6860,422,20.63"
7.189,"6880,424,20.72"
7.217,"6900,425,20.77"
7.237,"6920,426,20.82"
7.258,"6940,429,20.97"
7.269,"6960,431,21.07"
7.288,"6980,434,21.21"
7.316,"7000,434,21.21"
7.333,"7020,438,21.41"
7.355,"7040,441,21.55"
7.376,"7060,448,21.90"
7.396,"7080,456,22.29"
7.415,"7100,470,22.97"
7.427,"7120,497,24.29"
7.448,"7140,568,27.76"
7.476,"7160,614,30.01"
7.492,"7180,629,30.74"
7.515,"7200,617,30.16"
