Time (s),Data
7.528,"7220,609,29.77"
7.555,"7240,611,29.86"
7.576,"7260,610,29.81"
7.587,"7280,637,31.13"
7.608,"7300,756,36.95"
7.635,"7320,837,40.91"
7.651,"7340,931,45.50"
7.666,"7360,1023,50.00"
7.688,"7380,1023,50.00"
7.714,"7400,1023,50.00"
7.731,"7420,1023,50.00"
7.748,"7440,1023,50.00"
7.778,"7460,1023,50.00"
7.793,"7480,82,4.01"
7.81,"7500,16,0.78"
7.826,"7520,59,2.88"
7.844,"7540,6,0.29"
7.863,"7560,0,0.00"
7.89,"7580,0,0.00"
7.906,"7600,0,0.00"
7.923,"7620,0,0.00"
7.943,"7640,0,0.00"
7.97,"7660,0,0.00"
7.986,"7680,0,0.00"
8.002,"7700,0,0.00"
8.022,"7720,0,0.00"
8.051,"7740,0,0.00"
8.065,"7760,0,0.00"
8.091,"7780,0,0.00"
8.102,"7800,0,0.00"
8.13,"7820,0,0.00"
8.144,"7840,0,0.00"
8.166,"7860,0,0.00"
8.182,"7880,0,0.00"
8.209,"7900,0,0.00"
8.225,"7920,0,0.00"
8.241,"7940,0,0.00"
8.261,"7960,0,0.00"
8.289,"7980,0,0.00"
8.305,"8000,0,0.00"
8.321,"8020,0,0.00"
8.341,"8040,0,0.00"
8.368,"8060,0,0.00"
8.385,"8080,0,0.00"
8.401,"8100,0,0.00"
8.422,"8120,0,0.00"
8.45,"8140,0,0.00"
8.464,"8160,0,0.00"
8.482,"8180,0,0.00"
8.501,"8200,0,0.00"
8.527,"8220,0,0.00"
8.544,"8240,0,0.00"
8.56,"8260,0,0.00"
8.582,"8280,0,0.00"
8.607,"8300,0,0.00"
8.623,"8320,0,0.00"
8.647,"8340,0,0.00"
8.66,"8360,1,0.05"
8.686,"8380,0,0.00"
8.702,"8400,0,0.00"
8.72,"8420,0,0.00"
8.74,"8440,0,0.00"
8.766,"8460,0,0.00"
8.782,"8480,0,0.00"
8.8,"8500,0,0.00"
8.819,"8520,0,0.00"
8.846,"8540,0,0.00"
8.866,"8560,0,0.00"
8.882,"8580,0,0.00"
8.899,"8600,0,0.00"
8.925,"8620,0,0.00"
8.941,"8640,13,0.64"
8.96,"8660,25,1.22"
8.988,"8680,32,1.56"
9.004,"8700,42,2.05"
9.02,"8720,49,2.39"
9.04,"8740,59,2.88"
9.068,"8760,72,3.52"
9.085,"8780,80,3.91"
9.101,"8800,87,4.25"
9.125,"8820,92,4.50"
9.147,"8840,99,4.84"
9.163,"8860,108,5.28"
9.183,"8880,113,5.52"
9.2,"8900,121,5.91"
9.229,"8920,128,6.26"
9.244,"8940,135,6.60"
9.26,"8960,144,7.04"
9.283,"8980,149,7.28"
9.307,"9000,156,7.62"
9.323,"9020,160,7.82"
9.34,"9040,163,7.97"
9.366,"9060,167,8.16"
9.389,"9080,171,8.36"
9.403,"9100,174,8.50"
9.419,"9120,182,8.90"
9.44,"9140,184,8.99"
9.466,"9160,189,9.24"
9.483,"9180,194,9.48"
9.498,"9200,201,9.82"
9.518,"9220,207,10.12"
9.545,"9240,210,10.26"
9.561,"9260,216,10.56"
9.584,"9280,221,10.80"
9.599,"9300,227,11.09"
9.626,"9320,236,11.53"
9.648,"9340,242,11.83"
9.659,"9360,246,12.02"
9.684,"9380,253,12.37"
9.705,"9400,258,12.61"
9.721,"9420,264,12.90"
9.739,"9440,268,13.10"
9.759,"9460,274,13.39"
9.784,"9480,276,13.49"
9.8,"9500,279,13.64"
9.819,"9520,283,13.83"
9.848,"9540,290,14.17"
9.864,"9560,294,14.37"
9.884,"9580,297,14.52"
9.898,"9600,302,14.76"
9.927,"9620,305,14.91"
9.944,"9640,311,15.20"
9.96,"9660,316,15.44"
9.984,"9680,320,15.64"
10.006,"9700,323,15.79"
10.023,"9720,329,16.08"
10.038,"9740,331,16.18"
10.058,"9760,336,16.42"
10.085,"9780,339,16.57"
10.101,"9800,344,16.81"
10.118,"9820,346,16.91"
10.137,"9840,349,17.06"
10.165,"9860,352,17.20"
10.184,"9880,353,17.25"
10.197,"9900,356,17.40"
10.217,"9920,356,17.40"
10.245,"9940,359,17.55"
10.261,"9960,361,17.64"
10.284,"9980,365,17.84"
10.297,"10000,373,18.23"
10.324,"10020,381,18.62"
10.34,"10040,391,19.11"
10.358,"10060,398,19.45"
10.384,"10080,407,19.89"
10.405,"10100,412,20.14"
10.421,"10120,420,20.53"
10.437,"10140,424,20.72"
10.458,"10160,427,20.87"
10.484,"10180,432,21.11"
10.5,"10200,438,21.41"
10.517,"10220,444,21.70"
10.537,"10240,451,22.04"
10.565,"10260,456,22.29"
10.585,"10280,465,22.73"
10.598,"10300,471,23.02"
10.617,"10320,479,23.41"
10.644,"10340,483,23.61"
10.664,"10360,485,23.70"
10.685,"10380,485,23.70"
10.696,"10400,486,23.75"
10.724,"10420,487,23.80"
10.739,"10440,488,23.85"
10.765,"10460,488,23.85"
10.785,"10480,489,23.90"
10.804,"10500,486,23.75"
10.819,"10520,488,23.85"
10.836,"10540,488,23.85"
10.855,"10560,488,23.85"
10.882,"10580,487,23.80"
10.898,"10600,485,23.70"
10.916,"10620,480,23.46"
10.936,"10640,476,23.26"
10.962,"10660,474,23.17"
10.978,"10680,471,23.02"
10.998,"10700,473,23.12"
11.015,"10720,479,23.41"
11.044,"10740,489,23.90"
11.058,"10760,498,24.34"
11.075,"10780,508,24.83"
11.099,"10800,501,24.49"
11.121,"10820,498,24.34"
11.137,"10840,491,24.00"
11.154,"10860,480,23.46"
11.179,"10880,473,23.12"
11.202,"10900,470,22.97"
11.217,"10920,470,22.97"
11.235,"10940,471,23.02"
11.254,"10960,473,23.12"
11.281,"10980,482,23.56"
11.298,"11000,512,25.02"
11.315,"11020,535,26.15"
11.334,"11040,561,27.42"
11.362,"11060,548,26.78"
11.377,"11080,578,28.25"
11.394,"11100,708,34.60"
11.415,"11120,804,39.30"
11.442,"11140,880,43.01"
11.458,"11160,934,45.65"
11.474,"11180,969,47.36"
11.493,"11200,986,48.19"
11.521,"11220,1007,49.22"
11.537,"11240,1020,49.85"
11.555,"11260,1021,49.90"
11.575,"11280,694,33.92"
11.601,"11300,688,33.63"
11.617,"11320,695,33.97"
11.633,"11340,8,0.39"
11.65,"11360,3,0.15"
11.68,"11380,18,0.88"
11.697,"11400,1,0.05"
11.716,"11420,0,0.00"
11.732,"11440,0,0.00"
11.749,"11460,0,0.00"
11.776,"11480,0,0.00"
11.793,"11500,0,0.00"
11.815,"11520,0,0.00"
11.829,"11540,0,0.00"
11.856,"11560,0,0.00"
11.872,"11580,0,0.00"
11.889,"11600,0,0.00"
11.909,"11620,0,0.00"
11.936,"11640,0,0.00"
11.951,"11660,0,0.00"
11.969,"11680,0,0.00"
11.989,"11700,0,0.00"
12.015,"11720,0,0.00"
12.031,"11740,0,0.00"
12.052,"11760,0,0.00"
12.069,"11780,0,0.00"
12.096,"11800,0,0.00"
12.11,"11820,0,0.00"
12.128,"11840,0,0.00"
12.158,"11860,0,0.00"
12.174,"11880,0,0.00"
12.189,"11900,0,0.00"
12.215,"11920,0,0.00"
12.237,"11940,0,0.00"
12.253,"11960,0,0.00"
12.27,"11980,0,0.00"
12.289,"12000,0,0.00"
12.317,"12020,0,0.00"
12.333,"12040,0,0.00"
12.351,"12060,0,0.00"
12.368,"12080,0,0.00"
12.397,"12100,14,0.68"
12.415,"12120,27,1.32"
12.43,"12140,39,1.91"
12.448,"12160,45,2.20"
12.477,"12180,53,2.59"
12.493,"12200,61,2.98"
12.51,"12220,70,3.42"
12.528,"12240,81,3.96"
12.556,"12260,89,4.35"
12.572,"12280,96,4.69"
12.59,"12300,102,4.99"
12.608,"12320,107,5.23"
12.636,"12340,114,5.57"
12.652,"12360,121,5.91"
12.668,"12380,130,6.35"
12.69,"12400,135,6.60"
12.717,"12420,141,6.89"
12.731,"12440,148,7.23"
12.748,"12460,154,7.53"
12.768,"12480,161,7.87"
12.796,"12500,164,8.02"
12.811,"12520,171,8.36"
12.828,"12540,176,8.60"
12.848,"12560,179,8.75"
12.876,"12580,188,9.19"
12.891,"12600,192,9.38"
12.907,"12620,195,9.53"
12.928,"12640,200,9.78"
12.954,"12660,203,9.92"
12.971,"12680,209,10.22"
12.991,"12700,213,10.41"
13.008,"12720,217,10.61"
13.035,"12740,221,10.80"
13.056,"12760,224,10.95"
13.068,"12780,230,11.24"
13.091,"12800,232,11.34"
13.114,"12820,238,11.63"
13.13,"12840,240,11.73"
13.148,"12860,244,11.93"
13.167,"12880,248,12.12"
13.193,"12900,252,12.32"
13.209,"12920,255,12.46"
13.233,"12940,259,12.66"
13.247,"12960,262,12.81"
13.273,"12980,265,12.95"
13.291,"13000,270,13.20"
13.308,"13020,272,13.29"
13.326,"13040,275,13.44"
13.354,"13060,279,13.64"
13.369,"13080,283,13.83"
13.391,"13100,285,13.93"
13.406,"13120,288,14.08"
13.434,"13140,289,14.13"
13.449,"13160,295,14.42"
13.466,"13180,297,14.52"
13.491,"13200,300,14.66"
13.512,"13220,302,14.76"
13.528,"13240,305,14.91"
13.546,"13260,307,15.00"
13.566,"13280,309,15.10"
13.592,"13300,313,15.30"
13.609,"13320,315,15.40"
13.632,"13340,318,15.54"
13.646,"13360,320,15.64"
13.672,"13380,323,15.79"
13.692,"13400,327,15.98"
13.705,"13420,331,16.18"
13.726,"13440,335,16.37"
13.752,"13460,338,16.52"
13.768,"13480,342,16.72"
13.792,"13500,348,17.01"
13.805,"13520,350,17.11"
13.832,"13540,355,17.35"
13.848,"13560,358,17.50"
13.865,"13580,361,17.64"
13.893,"13600,365,17.84"
13.911,"13620,367,17.94"
13.927,"13640,371,18.13"
13.945,"13660,373,18.23"
13.965,"13680,375,18.33"
13.993,"13700,377,18.43"
14.007,"13720,379,18.52"
14.026,"13740,381,18.62"
14.048,"13760,381,18.62"
14.07,"13780,385,18.82"
14.093,"13800,387,18.91"
14.104,"13820,393,19.21"
14.124,"13840,386,18.87"
14.15,"13860,396,19.35"
14.165,"13880,376,18.38"
14.193,"13900,311,15.20"
14.213,"13920,309,15.10"
14.231,"13940,321,15.69"
14.245,"13960,329,16.08"
14.27,"13980,339,16.57"
14.292,"14000,347,16.96"
14.309,"14020,356,17.40"
14.323,"14040,361,17.64"
14.342,"14060,362,17.69"
14.371,"14080,365,17.84"
14.387,"14100,369,18.04"
14.403,"14120,368,17.99"
14.424,"14140,364,17.79"
14.451,"14160,368,17.99"
14.468,"14180,377,18.43"
14.482,"14200,391,19.11"
14.503,"14220,398,19.45"
14.531,"14240,405,19.79"
14.548,"14260,407,19.89"
14.562,"14280,410,20.04"
14.582,"14300,413,20.19"
14.61,"14320,419,20.48"
14.626,"14340,421,20.58"
14.641,"14360,421,20.58"
14.665,"14380,425,20.77"
14.69,"14400,427,20.87"
14.706,"14420,430,21.02"
14.722,"14440,433,21.16"
14.742,"14460,434,21.21"
14.77,"14480,437,21.36"
14.785,"14500,437,21.36"
14.802,"14520,439,21.46"
14.821,"14540,440,21.51"
14.85,"14560,442,21.60"
14.866,"14580,443,21.65"
14.881,"14600,446,21.80"
14.901,"14620,447,21.85"
14.93,"14640,452,22.09"
14.947,"14660,453,22.14"
14.966,"14680,454,22.19"
14.981,"14700,456,22.29"
15.009,"14720,460,22.48"
15.025,"14740,459,22.43"
15.044,"14760,462,22.58"
15.061,"14780,463,22.63"
15.089,"14800,465,22.73"
15.105,"14820,468,22.87"
15.123,"14840,473,23.12"
15.14,"14860,478,23.36"
15.169,"14880,485,23.70"
15.186,"14900,487,23.80"
15.201,"14920,489,23.90"
15.22,"14940,492,24.05"
15.249,"14960,493,24.10"
15.264,"14980,495,24.19"
15.289,"15000,497,24.29"
15.299,"15020,500,24.44"
15.327,"15040,509,24.88"
15.343,"15060,523,25.56"
15.36,"15080,526,25.71"
15.379,"15100,524,25.61"
15.407,"15120,525,25.66"
15.422,"15140,527,25.76"
15.44,"15160,529,25.86"
15.459,"15180,530,25.90"
15.486,"15200,524,25.61"
15.501,"15220,521,25.46"
15.519,"15240,519,25.37"
15.538,"15260,522,25.51"
15.565,"15280,517,25.27"
15.582,"15300,516,25.22"
15.598,"15320,513,25.07"
15.618,"15340,480,23.46"
15.644,"15360,467,22.83"
15.66,"15380,460,22.48"
15.678,"15400,455,22.24"
15.699,"15420,453,22.14"
15.724,"15440,451,22.04"
15.74,"15460,448,21.90"
15.757,"15480,444,21.70"
15.779,"15500,429,20.97"
15.805,"15520,428,20.92"
15.822,"15540,432,21.11"
15.837,"15560,535,26.15"
15.864,"15580,525,25.66"
15.877,"15600,0,0.00"
15.901,"15620,5,0.24"
15.917,"15640,0,0.00"
15.934,"15660,3,0.15"
15.963,"15680,1,0.05"
15.978,"15700,0,0.00"
15.995,"15720,1,0.05"
16.014,"15740,0,0.00"
16.041,"15760,0,0.00"
16.058,"15780,0,0.00"
16.074,"15800,0,0.00"
16.096,"15820,0,0.00"
16.121,"15840,0,0.00"
16.137,"15860,0,0.00"
16.153,"15880,0,0.00"
16.173,"15900,0,0.00"
16.201,"15920,0,0.00"
16.218,"15940,0,0.00"
16.233,"15960,0,0.00"
16.253,"15980,0,0.00"
16.28,"16000,0,0.00"
16.297,"16020,0,0.00"
16.313,"16040,0,0.00"
16.338,"16060,0,0.00"
16.361,"16080,0,0.00"
16.376,"16100,0,0.00"
16.396,"16120,0,0.00"
16.413,"16140,1,0.05"
16.44,"16160,0,0.00"
16.456,"16180,0,0.00"
16.472,"16200,0,0.00"
16.496,"16220,0,0.00"
16.52,"16240,0,0.00"
16.536,"16260,0,0.00"
16.551,"16280,0,0.00"
16.572,"16300,0,0.00"
16.599,"16320,0,0.00"
16.614,"16340,2,0.10"
16.632,"16360,13,0.64"
16.662,"16380,17,0.83"
16.678,"16400,18,0.88"
16.697,"16420,26,1.27"
16.712,"16440,54,2.64"
16.742,"16460,101,4.94"
16.758,"16480,127,6.21"
16.774,"16500,136,6.65"
16.797,"16520,132,6.45"
16.822,"16540,131,6.40"
16.839,"16560,134,6.55"
16.853,"16580,135,6.60"
16.873,"16600,136,6.65"
16.901,"16620,131,6.40"
16.917,"16640,133,6.50"
16.932,"16660,137,6.70"
16.953,"16680,139,6.79"
16.979,"16700,143,6.99"
16.997,"16720,148,7.23"
17.013,"16740,151,7.38"
17.032,"16760,158,7.72"
17.06,"16780,164,8.02"
17.075,"16800,166,8.11"
17.098,"16820,170,8.31"
17.111,"16840,177,8.65"
17.139,"16860,183,8.94"
17.154,"16880,188,9.19"
17.172,"16900,193,9.43"
17.198,"16920,196,9.58"
17.217,"16940,202,9.87"
17.234,"16960,208,10.17"
17.253,"16980,211,10.31"
17.273,"17000,216,10.56"
17.298,"17020,219,10.70"
17.313,"17040,224,10.95"
17.332,"17060,228,11.14"
17.352,"17080,231,11.29"
17.377,"17100,234,11.44"
17.398,"17120,238,11.63"
17.411,"17140,245,11.97"
17.44,"17160,252,12.32"
17.456,"17180,259,12.66"
17.473,"17200,265,12.95"
17.498,"17220,272,13.29"
17.52,"17240,279,13.64"
17.536,"17260,286,13.98"
17.553,"17280,293,14.32"
17.571,"17300,300,14.66"
17.6,"17320,305,14.91"
17.616,"17340,314,15.35"
17.632,"17360,320,15.64"
17.651,"17380,322,15.74"
17.679,"17400,323,15.79"
17.698,"17420,323,15.79"
17.713,"17440,326,15.93"
17.731,"17460,329,16.08"
17.76,"17480,334,16.32"
17.776,"17500,334,16.32"
17.798,"17520,338,16.52"
17.811,"17540,342,16.72"
17.839,"17560,344,16.81"
17.856,"17580,348,17.01"
17.876,"17600,350,17.11"
17.899,"17620,353,17.25"
17.919,"17640,356,17.40"
17.935,"17660,360,17.60"
17.95,"17680,362,17.69"
17.97,"17700,364,17.79"
17.999,"17720,366,17.89"
18.015,"17740,368,17.99"
18.03,"17760,369,18.04"
18.05,"17780,371,18.13"
18.077,"17800,370,18.08"
18.099,"17820,372,18.18"
18.109,"17840,373,18.23"
18.129,"17860,375,18.33"
18.157,"17880,377,18.43"
18.173,"17900,378,18.48"
18.196,"17920,380,18.57"
18.208,"17940,382,18.67"
18.237,"17960,382,18.67"
18.252,"17980,385,18.82"
18.269,"18000,385,18.82"
18.289,"18020,387,18.91"
18.316,"18040,388,18.96"
18.332,"18060,390,19.06"
18.348,"18080,393,19.21"
18.369,"18100,394,19.26"
18.397,"18120,394,19.26"
18.411,"18140,395,19.31"
18.427,"18160,396,19.35"
18.448,"18180,400,19.55"
18.475,"18200,400,19.55"
18.491,"18220,404,19.75"
18.507,"18240,404,19.75"
18.531,"18260,407,19.89"
18.555,"18280,409,19.99"
18.57,"18300,410,20.04"
18.588,"18320,410,20.04"
18.617,"18340,413,20.19"
18.634,"18360,415,20.28"
18.65,"18380,419,20.48"
18.667,"18400,421,20.58"
18.687,"18420,423,20.67"
18.712,"18440,428,20.92"
18.729,"18460,428,20.92"
18.747,"18480,433,21.16"
18.776,"18500,434,21.21"
18.793,"18520,437,21.36"
18.808,"18540,439,21.46"
18.827,"18560,440,21.51"
18.855,"18580,442,21.60"
18.871,"18600,442,21.60"
18.888,"18620,442,21.60"
18.906,"18640,443,21.65"
18.929,"18660,444,21.70"
18.952,"18680,445,21.75"
