Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1265143,-4648,9244,-11676,1049,1639,-1046
1265154,-4636,9144,-11936,1054,1271,-1097
1265166,-4636,8784,-12172,966,947,-863
1265178,-4832,8544,-12212,881,155,-418
1265190,-5056,8692,-11972,758,-213,-189
1265202,-5112,8592,-11856,617,-168,-299
1265214,-5064,8460,-11624,364,282,-412
1265226,-5012,8572,-11720,245,451,-370
1265238,-5160,8428,-11904,190,520,-204
1265250,-5096,8456,-11892,172,644,4
1265287,-4552,8628,-11972,-97,1182,291
1265299,-4492,8584,-12068,42,701,748
1265311,-4396,8812,-11660,44,401,966
1265323,-4416,9004,-11384,-161,544,544
1265335,-4392,9264,-11352,-450,777,-154
1265347,-4628,9236,-11228,-705,977,-766
1265359,-4456,9376,-11120,-975,1219,-1088
1265371,-4484,9588,-10996,-1273,1294,-1506
1265383,-4440,9972,-10932,-1532,1514,-2047
1265395,-4572,10360,-10800,-1729,1840,-2619
1265414,-4688,11256,-10496,-2703,2881,-4714
1265426,-4948,11868,-10636,-3375,3683,-6475
1265438,-5412,12488,-10800,-3983,3980,-8207
1265450,-5660,13140,-10580,-4729,4225,-10022
1265462,-6244,13500,-10052,-5874,4413,-12099
1265474,-6904,14152,-8996,-7225,4774,-14771
1265486,-7772,14996,-8200,-9104,5506,-18149
1265498,-8436,15588,-6920,-11771,6402,-22400
1265510,-9112,15656,-5888,-14457,6949,-26693
1265522,-9876,15528,-4572,-16756,6382,-30309
1265540,-11132,15268,-2748,-18900,5956,-32768
1265552,-11844,15000,-2044,-19039,5203,-32768
1265564,-11904,13632,-1588,-17234,5359,-32294
1265576,-13096,13376,-1132,-14708,5011,-28475
1265588,-13584,13296,-416,-12158,5256,-24935
1265600,-13520,12936,-340,-10067,7764,-22134
1265612,-13484,12708,-712,-7855,10973,-20135
1265624,-12640,12184,-1496,-5877,14354,-18425
1265636,-11436,11796,-2460,-4284,17846,-16701
1265648,-9972,11360,-3688,-2828,20331,-15100
1265666,-6856,10520,-6124,-716,21977,-12692
1265678,-4788,10188,-7472,246,21921,-11019
1265690,-2548,10232,-8972,422,21843,-10571
1265702,-548,9716,-10620,215,20709,-11317
1265714,532,9692,-12060,-1196,18891,-12947
1265726,944,9656,-13176,-3065,16339,-15327
1265738,1148,9740,-13684,-5302,14798,-17664
1265750,668,9860,-14140,-7370,14357,-19962
1265762,240,9548,-14684,-8685,13896,-21037
1265774,-204,9508,-14980,-9323,13312,-20876
1265792,-936,9640,-14824,-10323,12709,-20652
1265804,-1032,9712,-14948,-10680,12761,-20379
1265816,-1200,9852,-14804,-10734,12852,-19958
1265828,-1096,9768,-14632,-10554,12830,-19326
1265840,-748,9772,-14268,-10378,13096,-18953
1265852,-876,9904,-14152,-10269,13062,-18918
1265864,-576,9920,-13880,-10502,12868,-18680
1265876,-524,9804,-13828,-11007,12422,-17959
1265888,-532,9916,-13652,-11060,11810,-16915
1265900,-392,9828,-13320,-10560,11061,-15656
