Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2526326,-5108,1572,17108,-267,284,92
2526338,-5168,1608,17216,-245,266,102
2526350,-5016,1492,17184,-260,254,107
2526378,-5052,1588,17240,-259,260,107
2526390,-5124,1560,17256,-254,249,128
2526402,-5040,1396,17176,-243,259,108
2526414,-5132,1456,17252,-250,248,107
2526426,-5116,1576,17156,-258,262,86
2526438,-5040,1508,17148,-268,251,112
2526450,-5288,1504,17164,-253,232,95
2526462,-5172,1668,17076,-274,235,86
2526474,-5120,1536,17180,-252,271,102
2526486,-5156,1532,17136,-255,253,150
2526506,-5112,1532,17116,-246,250,122
2526518,-5084,1500,17184,-291,255,108
2526530,-5072,1428,17140,-271,254,100
2526542,-5164,1532,17232,-286,296,91
2526554,-5044,1468,17236,-282,252,84
2526566,-5112,1584,17148,-261,265,122
2526578,-5080,1464,17088,-277,288,70
2526590,-5184,1500,17156,-264,269,108
2526602,-5108,1532,17128,-257,285,115
2526614,-5036,1468,17040,-246,249,87
2526630,-5064,1424,17172,-276,240,132
2526642,-5020,1464,17224,-267,248,116
2526654,-5180,1452,17104,-258,271,113
2526666,-5072,1528,17204,-250,265,118
2526678,-5108,1508,17064,-265,243,116
2526690,-5084,1496,17212,-263,252,108
2526702,-5064,1512,17052,-280,258,88
2526714,-5136,1676,17104,-253,224,91
2526726,-5132,1508,17160,-246,282,110
2526738,-5124,1424,17096,-233,240,95
2526756,-5072,1580,17192,-251,260,72
2526768,-5092,1408,17136,-277,230,90
2526780,-5172,1492,17248,-259,259,100
2526792,-5116,1416,17060,-253,242,107
2526804,-5040,1444,17232,-257,238,110
2526816,-5092,1536,17176,-296,260,114
2526828,-5156,1552,17080,-261,235,76
2526840,-5176,1492,17284,-263,253,69
2526852,-5028,1472,17080,-262,247,104
2526864,-5120,1612,17248,-243,241,114
2526882,-5072,1552,17192,-267,265,117
2526894,-5120,1488,17148,-251,307,89
2526906,-4984,1504,17128,-278,281,110
2526918,-5092,1496,17400,-256,277,79
2526930,-5040,1508,17224,-270,239,101
2526942,-5020,1444,17260,-257,276,94
2526954,-5028,1552,17260,-243,266,137
2526966,-5080,1476,17160,-243,236,118
2526978,-5104,1576,17224,-273,242,110
2526990,-5144,1472,17212,-267,243,101
2527008,-5072,1560,17128,-248,261,110
2527020,-5060,1528,17104,-249,276,114
2527032,-5104,1560,17044,-255,273,92
2527044,-5124,1492,17148,-251,250,99
2527056,-5132,1624,17252,-258,270,118
2527068,-5092,1512,17196,-255,225,111
2527080,-5076,1576,17116,-256,282,72
2527092,-5072,1524,17104,-267,253,115
2527104,-5224,1444,17056,-269,245,97
2527116,-5124,1520,17044,-230,252,135
2527132,-5012,1464,17252,-280,256,114
2527144,-5036,1532,17264,-277,244,111
2527156,-5068,1436,17176,-257,255,97
2527168,-5032,1516,17104,-258,241,83
2527180,-5156,1540,17212,-256,280,102
2527192,-5160,1544,16980,-264,253,93
