Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1740864781.2079632,8440.0,-14648.0,148.0,-2685.0,1464.0,2396.0
1740864781.2266636,8020.0,-14752.0,-620.0,-2221.0,2498.0,3366.0
1740864781.2451882,7016.0,-14652.0,-444.0,-1362.0,3774.0,3948.0
1740864781.2625077,6340.0,-14556.0,720.0,-1262.0,4440.0,4223.0
1740864781.2806232,5720.0,-14600.0,1140.0,-2225.0,5548.0,4666.0
1740864781.2979584,4056.0,-14700.0,164.0,-3423.0,5076.0,4154.0
1740864781.315464,3624.0,-15036.0,-1368.0,-3533.0,4832.0,2841.0
1740864781.333213,4096.0,-15108.0,-2532.0,-2354.0,3225.0,1243.0
1740864781.3508022,4968.0,-15108.0,-2172.0,-755.0,1525.0,333.0
1740864781.3681765,5532.0,-14880.0,-636.0,17.0,424.0,-484.0
1740864781.3856966,6408.0,-14936.0,168.0,-309.0,-590.0,-584.0
1740864781.4032028,6688.0,-14880.0,-148.0,-1105.0,-368.0,313.0
1740864781.4212906,5840.0,-14688.0,-884.0,-1218.0,1578.0,1525.0
1740864781.4390893,4852.0,-14476.0,-592.0,-473.0,4130.0,3119.0
1740864781.4568598,3732.0,-14084.0,600.0,-273.0,8116.0,4426.0
1740864781.4746351,1300.0,-13648.0,1180.0,-852.0,10838.0,5211.0
1740864781.492033,-1468.0,-12896.0,1364.0,-1145.0,14439.0,5063.0
1740864781.509737,-3516.0,-11972.0,1376.0,-1267.0,21221.0,5517.0
1740864781.5273516,-7548.0,-10420.0,1592.0,-1411.0,26676.0,4028.0
1740864781.5459487,-10660.0,-9780.0,1404.0,-3029.0,23762.0,-1453.0
1740864781.5632422,-9116.0,-9308.0,-504.0,-3789.0,13425.0,-8195.0
1740864781.5811038,-6272.0,-7320.0,-2604.0,-1966.0,7520.0,-12103.0
1740864781.59855,-6652.0,-4516.0,-1236.0,2302.0,8610.0,-13862.0
1740864781.61645,-12540.0,-284.0,2444.0,4405.0,15806.0,-17845.0
1740864781.6343985,-17536.0,1516.0,3900.0,3770.0,17463.0,-29570.0
1740864781.6522434,-15284.0,4272.0,2852.0,2671.0,3394.0,-32768.0
1740864781.670148,-688.0,10464.0,1936.0,4446.0,-12123.0,-32768.0
1740864781.68748,7528.0,15504.0,4236.0,4839.0,-30307.0,-32768.0
1740864781.7052732,12452.0,21228.0,7976.0,1186.0,-32768.0,-32768.0
1740864781.7229462,11132.0,25288.0,11008.0,-4293.0,-32463.0,-32768.0
1740864781.7414517,12400.0,28776.0,8076.0,-15050.0,-23912.0,-32768.0
1740864781.7591794,15884.0,28672.0,2932.0,-25871.0,-14591.0,-32768.0
1740864781.7770405,24092.0,30212.0,-5276.0,-31690.0,-32768.0,-32768.0
1740864781.7949307,32767.0,32767.0,-5944.0,-31665.0,-13741.0,-32768.0
1740864781.812451,32767.0,28864.0,-6600.0,-29697.0,-20522.0,-32768.0
1740864781.8302646,32767.0,25764.0,-7956.0,-31465.0,-5119.0,-32768.0
1740864781.8483071,32767.0,25220.0,-13652.0,-31450.0,2452.0,-25787.0
1740864781.865774,32767.0,23412.0,-15932.0,-25438.0,1773.0,-17905.0
1740864781.8831434,32767.0,22908.0,-15688.0,-18057.0,5327.0,-10085.0
1740864781.9014292,29440.0,23416.0,-12728.0,-11278.0,11581.0,-2065.0
1740864781.918773,21252.0,24116.0,-8636.0,-10052.0,15587.0,538.0
1740864781.937095,17148.0,22220.0,-9684.0,-11714.0,15223.0,-2733.0
1740864781.954445,20180.0,19820.0,-11016.0,-12022.0,9241.0,-6630.0
1740864781.972799,25760.0,17252.0,-13840.0,-9441.0,4342.0,-6824.0
1740864781.990336,29084.0,15144.0,-16620.0,-2496.0,598.0,-3623.0
1740864782.0078948,29800.0,13644.0,-16312.0,7781.0,3115.0,3736.0
1740864782.0261004,24144.0,15168.0,-11684.0,15820.0,3976.0,6055.0
1740864782.043798,21868.0,14576.0,-2220.0,20423.0,113.0,4561.0
1740864782.0628529,22816.0,13584.0,8060.0,12384.0,-6441.0,2858.0
1740864782.0802312,25600.0,9852.0,5348.0,-4605.0,-8113.0,2480.0
1740864782.0981295,30432.0,8436.0,-10580.0,-15631.0,-16219.0,2720.0
1740864782.1157627,32767.0,9388.0,-23604.0,-13691.0,-28125.0,4223.0
1740864782.1343465,32767.0,10308.0,-32768.0,-510.0,-32768.0,9825.0
1740864782.153139,32767.0,11956.0,-32768.0,20959.0,-32768.0,18997.0
