Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1739652293.0884383,10280,-11280,12744,203,152,279
1739652293.095438,10188,-11428,12624,257,206,5
1739652293.0964396,10228,-11296,11656,447,102,-53
1739652293.0974379,10716,-11324,11424,538,104,51
1739652293.125437,11088,-11532,10980,542,191,184
1739652293.1404245,11352,-11844,11136,576,147,462
1739652293.141425,11624,-11920,11164,458,164,796
1739652293.141425,11564,-12060,11212,346,210,1036
1739652293.142429,11660,-12544,11500,199,154,1332
1739652293.142429,11792,-12856,11252,88,-115,1484
1739652293.1438627,11744,-13192,11208,115,-171,1566
1739652293.1448681,12040,-13628,10940,69,-206,1655
1739652293.145886,12232,-13584,10800,30,9,1634
1739652293.145886,12192,-14096,10632,68,96,1740
1739652293.1468675,12392,-14036,10492,249,309,1857
1739652293.1478674,11784,-13880,10528,357,429,1788
1739652293.1489067,12328,-13996,10600,480,705,1845
1739652293.1498678,12088,-14584,10644,319,636,1890
1739652293.1498678,11748,-14592,10344,538,513,1808
1739652293.1508746,11976,-15044,10264,799,-148,1949
1739652293.1711395,11716,-14448,11032,722,-85,2013
1739652293.185528,13328,-15220,11728,774,2769,2851
1739652293.186422,10020,-14840,8872,145,419,2282
1739652293.1874242,13424,-16556,10344,663,-103,3855
1739652293.1884227,12108,-15300,12672,317,635,3776
1739652293.1884227,12968,-16080,13004,53,-144,3920
1739652293.1894653,13336,-16260,13896,-368,-192,4613
1739652293.1904216,13460,-16340,14100,-1142,30,5270
1739652293.1904216,13148,-16312,14344,-1812,412,5909
1739652293.191421,13168,-16584,14164,-2380,-261,6523
1739652293.192448,13452,-16516,14796,-2947,-394,7087
1739652293.193421,13380,-16788,14664,-3484,-661,7628
1739652293.193421,13744,-17120,15076,-4115,-964,8155
1739652293.1944199,14308,-17668,15680,-4739,-1252,8812
1739652293.1954193,14332,-17844,16504,-5341,-1401,9477
1739652293.196447,14100,-18388,17064,-5997,-1851,10202
1739652293.2004397,14292,-18772,17868,-6621,-2561,11108
1739652293.2015119,14584,-19328,18988,-7314,-3452,12160
1739652293.2025235,14512,-19456,20340,-8129,-3812,12952
1739652293.2166185,14524,-19424,22432,-9165,-4060,13684
1739652293.2166185,14804,-19528,24328,-10451,-4217,14580
1739652293.2166185,14980,-19656,25892,-11851,-4257,15743
1739652293.2189112,14196,-19568,27044,-13283,-4839,16884
1739652293.2189112,13684,-19336,28596,-14864,-5199,17908
1739652293.2309563,13084,-19120,30032,-16550,-5433,18864
1739652293.2318432,12656,-19148,31404,-18409,-5613,19693
1739652293.2328546,12140,-18904,32224,-20289,-5498,20363
1739652293.2328546,11592,-18868,32576,-22154,-5262,20935
1739652293.2348855,11088,-18320,32744,-23882,-4769,21397
1739652293.2460802,10736,-18132,32767,-25493,-4085,21733
1739652293.246953,10296,-18380,32344,-26798,-3386,22156
1739652293.246953,10076,-19064,31688,-27823,-2608,22611
1739652293.2479513,9420,-19360,30152,-28362,-1472,22769
1739652293.261223,8844,-19604,29192,-28658,-542,22883
1739652293.261223,8592,-20692,28440,-28848,442,23034
1739652293.2622573,8976,-22536,27728,-28838,934,23505
1739652293.263231,8048,-21140,27132,-29306,1712,23422
1739652293.263231,6380,-21576,25816,-29775,2515,23553
1739652293.2652235,6136,-23856,23244,-29655,3161,23731
1739652293.2652235,5996,-24156,21208,-29456,4096,23675
1739652293.276227,5920,-24836,20420,-29372,4477,24126
1739652293.276227,5516,-26060,19712,-29573,4430,24502
1739652293.2772264,6056,-27408,19196,-29863,4016,25277
1739652293.2783644,6336,-28720,18296,-30312,3461,26177
1739652293.2912223,7580,-30376,17628,-30843,3009,27445
1739652293.2912223,7416,-31692,16692,-31659,2172,28975
1739652293.2922697,9088,-32768,16228,-32335,1321,30831
1739652293.2932394,8996,-32768,16420,-32768,747,32767
1739652293.294223,6788,-32768,15360,-32768,-631,32767
1739652293.306319,7120,-32768,15072,-32768,-1426,32767
1739652293.306319,7060,-32768,14864,-32768,-1900,32767
1739652293.307243,6664,-32768,14460,-32768,-3121,32767
1739652293.3082237,5936,-32648,13896,-32768,-4223,32767
1739652293.3093402,5932,-32380,13384,-32768,-5078,32767
1739652293.3204858,6104,-31792,12864,-32768,-5773,32767
1739652293.3224883,6004,-31224,12356,-32768,-6357,32767
1739652293.3224883,5572,-30292,12076,-32768,-7037,32767
1739652293.3234868,5288,-29636,11868,-32768,-7767,32767
1739652293.3244855,5712,-29220,11848,-31249,-8297,32767
1739652293.3254836,6072,-28844,12272,-29575,-8472,32767
1739652293.3357828,5844,-28072,12328,-27914,-8735,32767
1739652293.3367007,5280,-27560,12428,-26089,-8932,32767
1739652293.3367007,5616,-27480,12332,-24376,-8830,32767
1739652293.3386962,5452,-26968,12300,-22746,-8983,32767
1739652293.3508677,5532,-26800,12276,-21159,-9198,32767
1739652293.3508677,5760,-26412,12144,-19797,-9475,32767
1739652293.3522418,5992,-25960,12176,-18539,-9724,32767
1739652293.3532505,6004,-25680,12352,-17517,-10073,32767
1739652293.3532505,5964,-25192,12472,-16779,-10779,32767
1739652293.3664982,5820,-24468,13100,-16330,-11470,32767
1739652293.3804426,6172,-24100,13516,-16142,-12089,32767
1739652293.4108262,6484,-23668,13932,-16234,-12519,32767
1739652293.4117284,6376,-23220,14072,-16495,-13082,32767
1739652293.4127662,6452,-22916,13916,-16696,-13647,32767
1739652293.4127662,6708,-22712,13860,-16829,-14418,32767
1739652293.4138453,6688,-22440,14320,-16905,-14943,32767
1739652293.4148533,6772,-22232,15064,-17098,-15418,32767
1739652293.4148533,6676,-21996,15796,-17348,-15851,32767
1739652293.4169188,6752,-21684,16780,-17602,-16177,32767
1739652293.4169188,6616,-21244,17572,-17758,-16490,32767
1739652293.417967,6908,-20952,18196,-17739,-16481,32767
1739652293.4188497,6868,-20292,18704,-17647,-16495,32767
1739652293.4198527,6724,-19708,19336,-17508,-16294,32767
1739652293.4208515,6656,-19068,19828,-17263,-15779,32767
