Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
57678,13576,-8908,-616,457,-661,-1024
57689,13748,-8568,-384,291,-430,-1076
57701,13636,-8816,-480,208,-370,-758
57722,13756,-9056,-864,428,-324,-578
57734,13844,-9320,-784,248,-539,-364
57746,14168,-9464,-972,62,-585,-556
57758,14024,-9640,-876,-156,-489,-793
57770,13936,-9516,-660,-42,-175,-900
57782,13932,-9744,-684,-104,-485,-410
57794,14044,-9480,-128,3,-268,-488
57816,14256,-10088,-656,68,-442,-217
57828,13964,-9696,-192,-567,-209,63
57840,13952,-9720,-128,-459,-633,-88
57852,13916,-9508,76,-819,-717,-274
57865,13296,-9624,-200,-668,-491,-323
57877,13528,-9232,120,-625,-586,-196
57889,13700,-9416,-180,-876,-543,-302
57901,13640,-9092,120,-621,-506,-393
57913,13788,-9064,232,-633,-506,-89
57925,13860,-9392,-248,-435,-162,-279
57942,13928,-9300,240,-449,-276,-186
57954,13984,-9352,344,-559,-414,-380
57966,14000,-9448,168,-349,-348,-355
57978,13792,-9136,352,-405,-526,75
57990,14192,-9312,584,-399,-716,-286
58002,14452,-9500,168,-357,-279,-483
58014,14152,-9288,216,-134,-14,-675
58027,13908,-9180,356,-102,-639,-500
58039,13900,-8944,392,-140,-714,-430
58051,13880,-9140,64,-119,-556,-351
58066,13924,-9100,248,142,-656,-385
58078,13828,-9140,112,289,-635,-489
58090,13588,-9144,-12,336,-534,-652
58102,13344,-9268,-192,246,-650,-403
58114,13528,-9296,-216,395,-740,-520
58126,13652,-9208,68,484,-629,-636
58138,13440,-9444,-352,507,-436,-592
58150,13328,-9544,-696,603,-490,-657
58162,13432,-9268,4,368,-650,-275
58174,13368,-9324,-80,212,-606,-199
58191,13712,-9244,-88,473,-692,-414
58203,13616,-9284,328,330,-674,-243
58215,13484,-9408,-140,382,-655,-171
58227,13528,-9276,132,435,-886,341
58239,13528,-9488,108,520,-1148,325
58251,13440,-9448,308,320,-1200,390
58263,13436,-9284,396,603,-952,192
58275,13380,-9152,188,426,-1079,410
58287,13308,-9300,164,374,-1072,505
58299,13192,-8888,340,477,-799,348
58314,12980,-8968,220,446,-747,79
58326,13128,-8776,76,696,-384,-178
58338,13036,-8848,68,923,-64,59
58350,13152,-9036,-308,1071,179,72
58363,13096,-9300,-100,1258,131,190
58375,13348,-9552,-32,1450,-118,404
58387,13452,-9832,-404,1468,184,512
58399,13396,-9932,-124,1508,-362,703
58411,13580,-10212,-136,1401,-600,927
58423,13672,-10460,-360,1422,-645,781
58438,13752,-10764,-892,1178,-566,531
58450,13548,-10480,-776,857,-461,302
58462,13200,-10484,-916,645,-407,182
58474,13188,-10276,-652,723,-441,113
58486,13324,-10424,-864,502,-186,180
58498,13364,-10564,-1032,590,0,-75
58510,13480,-10540,-812,324,27,14
58522,13380,-10536,-708,152,-31,88
58534,13408,-10684,-700,146,37,-101
58546,13844,-10416,-232,125,153,-217
58563,13816,-10588,-200,-135,84,-254
58575,13832,-10492,-212,-128,13,-162
58587,13852,-10428,-68,-355,-152,-76
58599,13804,-10352,80,-461,-204,-276
58611,13780,-10244,188,-350,17,-337
58623,13548,-10268,12,-304,-64,-211
58635,13388,-10176,528,-282,-251,-172
58647,13296,-10240,332,-394,-289,0
58659,13244,-10020,516,-150,90,-168
58671,13028,-9716,908,-85,522,-203
58686,13156,-9696,1260,572,740,-297
58698,13528,-9908,1116,712,907,-732
58710,13672,-9724,1536,734,985,-345
58722,14084,-10120,1200,1203,1615,-1347
58736,14068,-10084,1372,1016,792,-502
58748,14048,-10240,1024,1122,-107,-371
58760,14124,-10664,1112,974,-891,-432
58772,14116,-10444,1044,724,-1262,-691
58784,13272,-10344,680,642,-1507,-825
58796,12544,-10112,544,592,-2107,-494
58811,12460,-9796,500,696,-2309,-425
58823,12176,-9748,364,890,-2275,-319
58835,12140,-9504,316,854,-2428,50
58847,12008,-9652,252,1049,-2401,35
58859,12060,-9508,332,965,-2405,254
58871,12140,-9964,-172,983,-1966,324
58883,12304,-10184,-24,1174,-1752,248
58897,12540,-10440,36,1084,-1789,647
58909,13008,-10844,-388,1187,-1683,374
58921,13144,-10668,4,694,-1982,914
58936,13224,-10788,-72,760,-1974,922
58948,13936,-10920,4,593,-2030,911
58960,13892,-10904,-40,486,-1935,702
58972,13908,-10832,-492,456,-1845,522
58984,13592,-10392,-100,220,-1991,430
58996,13552,-10552,92,141,-2015,296
59008,13640,-10464,-112,416,-1871,20
59020,13328,-10304,-212,483,-17,114
59196,12588,-10584,-664,42,-1234,-61
59208,12596,-10592,-496,6,-894,108
59220,12900,-10552,-732,304,-859,-145
59234,12784,-10684,-932,416,-683,-281
59246,12808,-10580,-756,256,-840,-23
59258,12916,-10568,-412,236,-925,-183
59270,12936,-10360,-636,350,-711,-355
59282,12988,-10476,-500,555,-561,-390
59294,12860,-10472,-580,604,-579,-555
59309,12792,-10672,-464,486,-864,-479
59321,12960,-10716,-492,459,-857,-505
59333,13032,-10556,-280,314,-799,-488
59345,12744,-10652,-540,357,-932,-734
5935,114
59196,12588,-10584,-664,42,-1234,-61
59208,12596,-10592,-496,6,-894,108
59220,12900,-10552,-732,304,-859,-145
59234,12784,-10684,-932,416,-683,-281
59246,12808,-10580,-756,256,-840,-23
59258,12916,-10568,-412,236,-925,-183
59270,12936,-10360,-636,350,-711,-355
59282,12988,-10476,-500,555,-561,-390
59294,12860,-10472,-580,604,-579,-555
59309,12792,-10672,-464,486,-864,-479
59321,12960,-10716,-492,459,-857,-505
59333,13032,-10556,-280,314,-799,-488
59345,12744,-10652,-540,357,-932,-734
59357,12440,-10204,-452,265,-880,-554
59369,12176,-10200,-344,191,-1171,-68
59381,12316,-10252,-448,382,-952,-150
59395,11984,-10072,-524,452,-640,143
59407,12176,-10496,-884,769,-532,40
59419,12540,-10584,-484,767,-353,237
59434,12844,-11040,-748,697,-98,106
59446,13152,-11180,-916,831,275,-257
59458,12760,-10936,-692,594,451,-157
59470,12860,-11348,-852,739,428,-319
59482,13304,-11120,-472,624,466,-282
59494,13128,-11472,-740,453,423,-339
59506,13204,-11304,-732,558,367,-530
59518,13212,-11140,-180,296,87,-522
59530,13160,-11048,-108,113,-275,-715
59542,12800,-10708,-64,122,-432,-664
59559,12516,-10448,-48,121,-1018,-428
59571,12444,-10440,-76,170,-986,-787
59583,12152,-10256,-108,263,-888,-878
59595,11996,-10412,-472,403,-999,-599
59607,12252,-10364,-556,425,-959,-652
59619,12196,-10216,-196,192,-905,-612
59631,12116,-10556,-548,339,-780,-434
59643,12276,-10472,-376,515,-654,-377
59655,12072,-10720,-692,487,-545,-168
59667,12380,-10956,-668,444,-819,-152
59682,12288,-10984,-476,31,-1059,427
59694,12892,-10400,588,116,-490,-88
59706,12224,-11024,-232,274,-144,-65
59718,12700,-10852,-504,579,-203,-90
59732,13152,-11168,-472,268,-518,-658
59744,12568,-10880,-260,103,-777,-162
59756,13508,-11092,-600,379,-851,-758
59768,12880,-11052,-364,182,-561,-699
59780,12992,-10684,-484,242,-264,-886
59792,13252,-10728,-288,138,-316,-885
59807,13284,-10692,-492,415,-275,-1125
59819,12876,-10720,-708,338,-146,-1092
59831,13008,-10628,-408,176,-446,-711
59843,12908,-10592,-648,197,-447,-844
59855,12788,-10560,-336,268,-277,-778
59867,12520,-10588,-472,295,-314,-608
59879,12712,-10828,-640,327,-250,-791
59893,12624,-10848,-624,133,-266,-761
