Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
45795,-13936,-6308,-4436,50,-356,-550
45806,-13832,-6284,-4544,-44,-165,-658
45818,-13876,-6368,-4540,33,19,-675
45833,-13956,-6320,-4616,14,-254,-626
45845,-13884,-6368,-4656,64,-563,-597
45857,-13864,-6460,-4316,49,-402,-635
45869,-13816,-6456,-4544,18,-221,-597
45881,-13988,-6520,-4480,-9,-66,-614
45893,-13848,-6436,-4424,-36,-237,-699
45905,-13816,-6448,-4616,108,-367,-558
45927,-13876,-6316,-4508,-11,-327,-622
45939,-13820,-6468,-4416,-10,-94,-597
45951,-13800,-6508,-4500,-36,19,-621
45963,-13840,-6428,-4860,10,-319,-622
45977,-13800,-6368,-4532,125,-535,-603
45989,-13904,-6276,-4428,8,-360,-600
46001,-13804,-6376,-4480,11,-22,-625
46013,-13896,-6452,-4500,-12,-39,-686
46025,-13792,-6368,-4632,-13,-270,-604
46037,-13820,-6404,-4556,90,-497,-521
46054,-13840,-6500,-4504,34,-334,-585
46066,-13876,-6404,-4272,5,-20,-619
46078,-13888,-6432,-4536,-46,-84,-609
46090,-13856,-6512,-4520,29,-340,-601
46102,-13928,-6424,-4488,54,-392,-602
46114,-13880,-6428,-4468,57,-314,-631
46126,-13920,-6336,-4432,-8,-265,-578
46140,-13800,-6340,-4560,-21,-227,-578
46152,-13832,-6412,-4632,50,-270,-625
46164,-13848,-6408,-4504,73,-328,-606
46179,-13808,-6324,-4412,74,-346,-624
46191,-13796,-6468,-4340,16,-253,-568
46203,-13976,-6376,-4568,-8,-156,-603
46215,-13844,-6472,-4684,30,-243,-618
46227,-13812,-6388,-4608,23,-419,-611
46239,-13944,-6388,-4432,23,-326,-627
46251,-13820,-6432,-4440,9,-111,-665
46263,-13876,-6388,-4552,18,-73,-603
46275,-13940,-6456,-4504,21,-241,-551
46287,-13844,-6392,-4556,34,-293,-529
46304,-13856,-6352,-4596,14,-330,-617
46316,-13836,-6400,-4516,17,-205,-626
46328,-13740,-6436,-4732,10,-94,-609
46340,-13856,-6372,-4664,17,-275,-532
46352,-13872,-6408,-4684,35,-432,-561
46364,-13772,-6436,-4520,41,-270,-672
46376,-13780,-6320,-4448,-6,-152,-601
46388,-13932,-6372,-4528,17,-194,-588
46400,-13816,-6548,-4460,36,-233,-662
46412,-13772,-6536,-4496,82,-272,-610
46427,-13828,-6488,-4332,6,-350,-612
46439,-13912,-6544,-4484,-29,-209,-618
46451,-13832,-6392,-4576,-21,-81,-665
46463,-13804,-6408,-4648,37,-216,-587
46477,-13872,-6328,-4564,54,-450,-575
46489,-13892,-6392,-4420,45,-329,-596
46501,-13796,-6356,-4488,37,-178,-609
46513,-13892,-6432,-4640,24,-164,-603
46525,-13820,-6364,-4552,-2,-359,-588
46537,-13776,-6396,-4488,63,-252,-592
46552,-13848,-6480,-4512,78,-256,-638
46564,-13796,-6480,-4392,36,-286,-598
46576,-13832,-6428,-4492,1,-255,-536
46588,-14044,-6320,-4504,-11,-204,-610
46600,-13688,-6400,-4600,11,-254,-628
46612,-13728,-6396,-4420,75,-359,-573
46624,-13868,-6452,-4548,-22,-239,-607
46638,-13864,-6436,-4508,44,-236,-648
46650,-13824,-6376,-4624,-17,-133,-653
46662,-13776,-6344,-4620,-7,-247,-593
46677,-13876,-6376,-4680,-7,-346,-578
46689,-13744,-6244,-4480,-11,-228,-602
46701,-13964,-6484,-4620,4,-102,-667
46713,-13856,-6388,-4660,69,-291,-632
46725,-13820,-6408,-4508,11,-372,-560
46737,-13872,-6344,-4324,46,-212,-647
46749,-13928,-6368,-4608,4,-201,-655
46761,-13940,-6368,-4340,25,-400,-654
46773,-13860,-6620,-4392,217,-222,-636
46785,-13856,-6592,-4072,224,-47,-547
46802,-13780,-6468,-4596,-48,-18,-863
46814,-13820,-6504,-4656,27,-141,-538
46826,-13876,-6380,-4560,38,-418,-451
46838,-13868,-6372,-4496,12,-227,-640
46850,-13788,-6320,-4516,29,-60,-677
46862,-13928,-6400,-4692,18,-178,-546
46874,-13856,-6380,-4756,24,-391,-546
46886,-13728,-6276,-4528,55,-322,-614
46898,-13812,-6364,-4596,53,-267,-635
46910,-13820,-6428,-4580,38,-302,-600
46925,-13848,-6420,-4384,18,-437,-610
46937,-13928,-6472,-4396,125,-237,-615
46949,-13768,-6476,-4388,-15,-282,-590
46961,-13860,-6516,-4240,18,-337,-568
46975,-13828,-6440,-4384,-32,-244,-576
46987,-13824,-6440,-4464,24,-187,-617
46999,-13904,-6532,-4600,35,-325,-619
47011,-13800,-6392,-4340,26,-386,-570
47023,-13932,-6392,-4592,1,-196,-562
47035,-13956,-6468,-4476,23,-119,-632
47050,-13788,-6404,-4688,32,-266,-627
47062,-13772,-6404,-4388,14,-317,-534
47074,-14040,-6364,-4600,46,-301,-610
47086,-13908,-6436,-4656,1,-245,-683676,2243,2138,-1370
47259,-16060,-5500,-4216,3035,4751,-727
47271,-10572,-6904,-3588,2508,-638,2109
47283,-16592,-7264,684,111,-9663,3745
47300,-15012,-6012,-6088,854,-1080,977
47312,-12984,-7556,-5960,1155,-33,-2340
47324,-16804,-4548,-4584,-1373,2102,440
47336,-11312,-5948,-4472,-1940,1284,2921
47348,-14068,-3812,-4960,-2231,2999,-962
47360,-13364,-5972,-5212,-3145,1620,-4365
47372,-13504,-7868,-4616,-1986,667,-858
47384,-15252,-6700,-3972,-785,-529,-1830
47396,-13624,-5616,-5460,-2925,-466,-3676,2243,2138,-1370
47259,-16060,-5500,-4216,3035,4751,-727
47271,-10572,-6904,-3588,2508,-638,2109
47283,-16592,-7264,684,111,-9663,3745
47300,-15012,-6012,-6088,854,-1080,977
47312,-12984,-7556,-5960,1155,-33,-2340
47324,-16804,-4548,-4584,-1373,2102,440
47336,-11312,-5948,-4472,-1940,1284,2921
47348,-14068,-3812,-4960,-2231,2999,-962
47360,-13364,-5972,-5212,-3145,1620,-4365
47372,-13504,-7868,-4616,-1986,667,-858
47384,-15252,-6700,-3972,-785,-529,-1830
47396,-13624,-5616,-5460,-2925,-466,-1870
47408,-14404,-6596,-4800,-2324,-1289,-3184
47425,-13400,-7280,-4716,765,-292,-4079
47437,-14128,-5780,-4728,517,355,-1885
47449,-14260,-7228,-4468,461,1320,-2164
47461,-14044,-6732,-4648,718,2371,-1874
47473,-13844,-6984,-5228,514,2176,-1881
47485,-14032,-6976,-5124,160,-227,-909
47497,-13108,-7996,-5796,1312,933,-855
47509,-13964,-7376,-5280,1197,2158,-154
47521,-14316,-6188,-4856,292,-2735,-3724
47533,-16660,-8128,-5372,615,2805,-3194
47548,-14460,-8988,-4784,626,431,-1028
47560,-15612,-6656,-3848,-992,1505,834
47572,-13716,-8580,-7220,-3763,-2254,844
47584,-13436,-8276,-2844,-2739,2682,-235
47598,-14064,-7660,-5968,-5789,-1323,2339
47610,-14284,-7272,-5700,-2621,4746,-516
47622,-16064,-6588,-5040,-6102,2293,1796
47634,-15516,-6828,-4988,-5126,994,1873
47646,-14496,-6136,-4108,-5559,1054,1890
47658,-13144,-7116,-5320,-5560,975,2149
