Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
757168,4176,-9168,-13088,-1613,-1724,-3290
757180,4192,-9076,-13516,-1546,-1722,-3231
757195,4148,-8956,-13072,-1527,-1943,-3176
757217,3648,-8444,-12540,-1626,-2490,-3162
757229,3544,-8472,-12640,-1612,-2651,-3062
757241,3272,-8688,-12648,-1557,-2574,-2887
757253,3052,-8764,-12512,-1472,-2249,-2715
757265,2996,-8624,-12536,-1353,-1896,-2545
757277,2988,-8316,-12756,-1209,-1555,-2356
757289,2940,-7944,-12916,-1177,-1357,-2212
757301,3464,-7904,-13024,-1009,-1165,-2107
757313,3588,-7976,-12836,-912,-1191,-2122
757327,3776,-7972,-12852,-646,-750,-2001
757344,3688,-8384,-12868,-455,-499,-2041
757356,3884,-8468,-12840,-333,-156,-2081
757368,4132,-8212,-12744,-133,56,-2225
757380,4208,-8312,-12828,136,484,-2118
757392,3744,-8144,-12908,317,840,-2044
757404,3152,-8360,-12900,469,1292,-1951
757416,2732,-8284,-12888,556,1645,-1809
757428,2740,-8248,-12932,563,1754,-1550
757440,3028,-7808,-12764,478,1352,-1432
757452,3332,-8068,-12704,402,1015,-1248
757468,3528,-7904,-12568,404,694,-1007
757480,3548,-7772,-12600,482,533,-715
757492,3124,-7968,-12740,373,136,-525
757504,3048,-8420,-12824,383,72,-312
757518,3284,-8404,-12796,300,548,-44
757530,3164,-8032,-12880,291,775,-84
757542,3836,-8328,-12912,214,901,-112
757554,4656,-8016,-12784,235,714,-275
757566,4888,-7976,-12716,232,572,-335
757578,4120,-8584,-13348,204,735,-434
757594,3572,-8660,-14024,229,1828,-448
757606,4312,-8428,-13880,135,2196,-323
757618,3884,-8104,-13540,-141,1883,-357
757630,3720,-7916,-12784,-362,1308,-357
757644,3640,-7604,-12384,-751,594,-373
757656,3460,-7720,-12572,-1037,138,-396
757668,3916,-8004,-12964,-1139,-310,-244
757680,3992,-7940,-13124,-1254,-587,-110
757692,3780,-8412,-13600,-1322,-521,54
757704,4408,-8684,-13628,-1391,-552,273
757720,4784,-8276,-13348,-1314,-521,425
757732,4240,-8300,-12944,-1355,-821,536
757744,3984,-8312,-12940,-1320,-852,699
757756,3896,-8200,-12996,-1339,-1004,689
757768,4084,-8028,-13020,-1216,-897,882
757780,3568,-7860,-12764,-1189,-751,998
757792,3412,-8032,-12940,-1094,-545,1162
757806,3668,-8032,-12812,-1077,-338,1212
757818,3572,-7888,-12964,-1032,-122,1185
757830,3876,-8028,-13428,-1008,-36,1379
757846,4168,-7884,-13396,-994,-254,1348
757858,4008,-7760,-13064,-944,-199,1302
757870,3560,-7664,-12748,-916,-5,1256
757882,3196,-7772,-12864,-889,281,1188
757894,3508,-7972,-13308,-917,508,1151
757906,3808,-7848,-14016,-874,794,1265
757918,3396,-7884,-14044,-1005,1045,1281
757930,3536,-7464,-13532,-1034,1354,1147
757942,3724,-7276,-13504,-1110,1395,1072
757954,4108,-7568,-13640,-1303,681,945
757971,4944,-7664,-13416,-1387,-57,802
757983,4684,-8036,-13376,-1495,-624,621
757995,4172,-8248,-13248,-1462,-758,556
758007,3944,-8208,-13000,-1388,-504,506
758019,3908,-8388,-13136,-1279,-121,381
758031,4000,-8016,-13132,-1250,-88,226
758043,4072,-7376,-13208,-1179,-236,293
758055,3108,-6980,-13164,-1153,-326,263
758067,2600,-7292,-13056,-1173,-298,427
758079,2800,-7240,-13124,-1296,-509,469
758095,3512,-6896,-13516,-1286,-1213,742
758107,3820,-7588,-13240,-1340,-1780,1014
758119,3256,-7604,-12852,-1341,-2075,1032
758133,2956,-7552,-13256,-1305,-2162,1174
758145,2804,-7660,-13328,-1283,-2104,1205
758157,2808,-7692,-13688,-1136,-1687,1349
758169,2360,-7784,-13652,-1046,-1388,1534
758181,2332,-7680,-13252,-952,-997,1776
758193,2480,-7084,-12924,-883,-683,1749
758205,3056,-6976,-12648,-823,-899,1469
758221,3764,-7116,-12672,-611,-905,1197
758233,2920,-7228,-13076,-442,-406,1077
758245,2252,-7736,-14500,-315,361,1140
758257,1920,-7476,-15016,-328,1164,1109
758271,2784,-7320,-15180,-352,1628,1348
758283,3488,-7184,-14456,-550,1156,1237
758295,3796,-6972,-13852,-686,126,1183
758307,3676,-7336,-13080,-830,-733,971
758319,3340,-7396,-13032,-781,-1084,756
758331,2636,-7176,-13240,-660,-610,750
758347,2308,-6876,-13636,-622,-129,418
758359,3104,-7252,-14016,-569,-262,333
758371,3412,-7276,-13800,-585,-709,289
758383,2904,-7460,-13868,-614,-894,372
758395,2360,-7364,-14072,-633,-903,368
758407,2580,-7468,-13792,-838,-780,895
758581,2384,-7212,-13916,-925,-892,887
758598,2516,-7268,-14208,-871,-949,849
758610,2468,-7224,-13876,-820,-729,800
758622,2448,-7144,-13564,-743,-389,761
758634,2320,-6960,-14040,-638,-126,779
758646,2044,-6940,-13908,-620,-133,658
758658,1972,-7220,-13812,-544,46,764
758670,1868,-7148,-13900,-491,287,870
758682,1468,-6960,-13900,-455,408,967
758694,1820,-6868,-13704,-382,677,1060
758706,1712,-6780,-13468,-293,860,1124
758722,2144,-6828,-13660,-143,983,1148
758734,2384,-7113792,-838,-780,895
758581,2384,-7212,-13916,-925,-892,887
758598,2516,-7268,-14208,-871,-949,849
758610,2468,-7224,-13876,-820,-729,800
758622,2448,-7144,-13564,-743,-389,761
758634,2320,-6960,-14040,-638,-126,779
758646,2044,-6940,-13908,-620,-133,658
758658,1972,-7220,-13812,-544,46,764
758670,1868,-7148,-13900,-491,287,870
758682,1468,-6960,-13900,-455,408,967
758694,1820,-6868,-13704,-382,677,1060
758706,1712,-6780,-13468,-293,860,1124
758722,2144,-6828,-13660,-143,983,1148
758734,2384,-7172,-13516,-45,1081,1100
758746,2816,-7192,-13876,95,1096,1136
758758,2440,-7272,-14248,189,1084,1226
758772,2100,-7192,-13948,318,1322,1304
758784,2376,-6660,-14000,416,1631,1392
758796,2308,-6780,-13692,488,1472,1286
758808,2564,-7288,-13612,529,1282,1273
758820,2364,-7276,-13548,628,1455,1262
758832,2100,-7256,-13764,787,1487,1323
758848,1856,-7432,-13540,934,2155,1341
758860,1684,-7544,-13464,1032,2587,1431
758872,1848,-7500,-13976,1021,2778,1606
758884,2268,-7764,-13820,891,2699,1773
758896,2496,-7680,-14064,811,2372,1932
758908,2448,-7192,-13788,703,2114,1922
758920,2668,-6860,-13404,514,1685,1755
758934,3340,-7252,-13448,413,1263,1440
758946,3320,-7756,-13868,403,787,1339
758958,3128,-7724,-13896,409,557,1119
758974,2720,-7792,-13612,563,913,1034
758986,2596,-7744,-13608,632,1151,944
758998,2508,-7504,-13608,661,1245,903
759010,2084,-7216,-13308,609,1052,993
759022,2204,-7084,-12952,512,1034,946
759034,2428,-7060,-13188,505,928,866
759046,2444,-7264,-13400,497,833,657
759058,2752,-7492,-13656,607,1232,481
759070,2888,-7760,-13644,769,1665,319
759082,3092,-7956,-13696,827,1966,-24
759099,4028,-8108,-13904,929,2220,-353
759111,3952,-8264,-14088,890,1887,-442
759123,3668,-8596,-13720,817,1651,-596
759135,3524,-8232,-13748,728,1529,-713
759147,3384,-8040,-13692,629,1207,-873
759159,3220,-8168,-13512,582,907,-771
759171,2664,-7980,-13152,487,804,-703
759183,2184,-7760,-13036,399,754,-516
759195,2084,-7652,-13272,295,723,-425
759207,2064,-7196,-13140,201,745,-300
759223,2848,-7768,-12968,33,562,-236
759235,3520,-7548,-13240,-124,16,-498
759247,4176,-7536,-13228,-108,-354,-736
759259,4416,-8052,-13512,29,-158,-1184
759273,4820,-8352,-13636,294,435,-1661
759285,4684,-8396,-13772,491,693,-2004
759297,4244,-8420,-13724,584,647,-2317
759309,4128,-8128,-13664,637,442,-2377
759321,3056,-7752,-13412,507,131,-2375
759333,2128,-7704,-13564,403,-149,-2243
759349,1472,-8012,-13376,241,-44,-2151
759361,2200,-7756,-13084,129,243,-2063
759373,2436,-7560,-12912,128,388,-1780
759385,2348,-7720,-13100,-12,398,-1571
759399,3104,-7616,-13372,-167,-13,-1388
759411,3644,-7920,-13336,-345,-931,-1141
759423,3216,-8200,-13352,-499,-1212,-798
759435,2436,-8096,-13528,-582,-1109,-674
759447,3088,-7448,-13636,-633,-735,-518
759459,3132,-7252,-13660,-661,-1010,-526
759475,3160,-7748,-13696,-744,-1521,-448
759487,3096,-7952,-13340,-679,-1106,-463
759499,3096,-7816,-13280,-537,-589,-540
759511,2964,-7424,-13112,-429,-405,-607
759523,2856,-7488,-13596,-419,-237,-456
759535,2432,-7348,-13768,-380,-604,-449
759547,2724,-7476,-13456,-423,-511,-209
759561,2776,-7556,-13512,-309,-508,-219
759573,3120,-7916,-12960,-327,-665,-129
759585,3224,-8044,-13068,-286,-496,-83
759601,2876,-7928,-13484,-220,-388,13
759613,3080,-7728,-13752,-215,-721,57
759625,3244,-7820,-13676,-136,-1172,309
759637,2444,-7336,-12968,-142,-1402,404
759649,1908,-7268,-12548,-78,-1192,494
759661,1860,-6984,-12476,46,-694,443
759673,1984,-6888,-12460,227,-286,440
759685,2224,-7560,-13100,294,-171,658
759697,2508,-8356,-13928,253,-419,914
759709,3108,-8268,-14304,270,-313,1083
759726,2500,-8068,-14284,186,-175,1364
759738,2152,-8008,-14208,34,-6,1478
759750,2256,-7724,-13976,-65,-21,1560
759762,2172,-7600,-13616,-187,-44,1699
759774,2000,-7508,-13436,-309,-28,1761
759786,2168,-7736,-13776,-363,-78,1871
759798,2412,-8000,-13536,-449,-305,1970
759810,2884,-8456,-13464,-547,-365,2085
759822,3224,-8540,-13568,-596,-719,2104
759834,3112,-7884,-13344,-620,-1028,1991
759850,2632,-7728,-13204,-528,-1372,1894
759862,2436,-8116,-13108,-542,-1569,1835
759874,2024,-7484,-13212,-471,-1447,1804
759886,1812,-7972,-13464,-484,-1555,1928
759900,1848,-8100,-13404,-439,-1390,1984
759912,1692,-7856,-13368,-279,-1001,2078
759924,1328,-7332,-13244,-96,-386,2146
759936,1000,-7372,-13256,53,281,2093
759948,1724,-7856,-13464,140,803,2052
759960,2384,-7684,-13728,249,653,1914
759976,3016,-8148,-13540,453,916,1827
759988,2332,-8212,-13700,649,1009,1572
760000,2272,-7748,-13144,770,1598,1323
760012,2424,-7600,-12776,884,1632,1180
760024,2228,-7488,-12660,817,1220,872
760036,2320,-7904,-13488,728,898,701
760048,2440,-8152,-13880,706,328,530
760062,3084,-8880,-13992,712,787,498
760074,2256,-8556,-14048,748,1037,243
760086,1952,-8028,-13472,675,1399,17
760102,2424,-7408,-13372,559,1610,-186
760114,1892,-7864,-13584,490,1055,-312
760126,2160,-8420,-13564,420,981,-323
760138,2416,-8220,-13540,425,897,-431
760150,2428,-8176,-13424,416,751,-519
760162,2156,-8024,-13124,385,720,-670
760174,2276,-7844,-12976,381,811,-784
760186,1904,-8032,-12912,349,667,-782
760198,1988,-8404,-13056,271,549,-790
760210,1724,-8472,-13252,225,365,-664
760227,2340,-8436,-13728,105,442,-556
760239,2228,-8480,-13820,30,20,-367
760251,1716,-8440,-13432,-178,-152,-205
760263,1688,-8052,-13008,-329,-286,-124
760275,1996,-7772,-12800,-397,-441,-81
760287,1656,-6928,-12604,-399,-529,-231
760299,1760,-7360,-12768,-350,-522,-182
760311,1656,-8312,-12732,-199,-455,-175
760323,1484,-8392,-13160,-78,139,-204
760335,2328,-8840,-13476,98,353,-150
760352,2768,-8796,-13288,278,870,-51
760364,2004,-8148,-13236,272,1088,-171
760376,1840,-7768,-12856,296,1209,-233
760388,1964,-7612,-12704,286,1440,-265
760400,2192,-7600,-12616,370,1355,-317
760412,2040,-7612,-12340,460,1168,-634
760424,2048,-7172,-12252,688,1784,-681
760436,1848,-7164,-13124,639,2183,-892
760448,2232,-8092,-13304,811,2004,-1240
760460,3828,-7988,-12764,985,2723,-1413
760476,3972,-6980,-13024,1297,3231,-1722
760488,3832,-6924,-12628,1468,3586,-1875
760500,3540,-7268,-12336,1405,4217,-2283
760512,3212,-7584,-12712,1214,5173,-2787
760526,4028,-8072,-11980,606,6525,-3253
760538,5360,-6792,-12176,245,7633,-3137
760550,3008,-6376,-11400,67,9861,-3363
760562,2768,-6928,-11780,390,12395,-3037
760574,3528,-4900,-10148,746,15266,-2974
760586,5036,-3912,-11304,1902,17190,-2446
760602,6608,-2964,-5760,1122,20930,-600
760614,10088,-2800,-5212,1362,24620,3539
760626,9488,-6436,-4792,-217,22606,3858
760638,13284,-6328,-2824,-1802,19193,5892
760650,18176,-6916,-2624,-3684,16241,10211
760662,17116,-8672,-2252,-5986,11374,11282
760674,18280,-8888,-2656,-7854,7830,12196
760688,19780,-9392,-2584,-9853,6605,15424
760700,19160,-9704,-3436,-11437,6092,16954
760712,17932,-9616,-4624,-12648,5469,17658
760728,17312,-10264,-6188,-13538,4921,18957
760740,17448,-10596,-7368,-14320,4030,19945
760752,17956,-9980,-8472,-14767,3435,20855
760764,18036,-9488,-9124,-15221,2565,22109
760776,17924,-9048,-10212,-15714,1921,23485
760788,17124,-8468,-11032,-16029,1985,24741
760800,16228,-8372,-11136,-15958,2346,25745
760812,15696,-8568,-11544,-16050,2709,26693
760824,14972,-8700,-11312,-16410,2853,27774
760838,14936,-8032,-11916,-16404,3058,28724
760853,14884,-7100,-12684,-16398,2769,30006
760865,14620,-6248,-12848,-16303,2409,30840
760877,13984,-5668,-13080,-16232,2186,31613
760889,12928,-5544,-12956,-16434,2391,32277
760901,12076,-5224,-12968,-16561,2674,32644
760913,11496,-4588,-13228,-16476,2831,32767
760925,10740,-4132,-13696,-16315,2812,32767
760937,9920,-3796,-13944,-16074,2596,32767
760949,9508,-3108,-14268,-15674,2464,32767
760963,9536,-2536,-14288,-15365,2525,32767
760978,9724,-1884,-14184,-15236,2225,32767
760990,9292,-1228,-14384,-15281,1669,32631
761002,8412,-728,-14556,-14950,1130,32022
761014,7580,-396,-14800,-14411,982,31392
761026,7112,120,-14756,-13603,1159,30598
761038,7084,792,-15376,-12830,1430,29791
761050,7268,1652,-15632,-11691,1531,28900
761062,6848,2212,-15688,-10739,1213,27892
761074,6676,2460,-15488,-9727,964,26795
761086,6444,2472,-15148,-8839,997,25933
761103,5372,2760,-15580,-7874,1162,24514
761115,4860,3104,-16304,-7021,1304,23247
761127,4532,3796,-16560,-6093,1608,22008
761139,4140,4168,-16768,-5039,2096,21075
761151,4124,4400,-17096,-3729,3350,20461
761163,4140,3972,-16944,-2665,4674,19678
761175,4600,3552,-16736,-1939,5412,18557
761187,4696,2972,-16588,-1790,5373,17284
761199,4468,2584,-16540,-1933,4824,15616
761211,4148,2996,-17484,-1833,3965,13823
761227,3788,4088,-17412,-1350,2333,11756
761239,3728,4248,-17248,-1025,1209,10533
761251,4000,4104,-16912,-856,92,9641
761263,4268,4548,-16976,-457,-1229,8919
761277,3384,5020,-16712,181,-2623,7637
761289,2768,5136,-16412,783,-3209,6709
761301,1936,5188,-16696,1347,-2698,5762
761313,1252,6108,-16740,2073,-1727,4749
761325,1236,7272,-17100,3066,-556,3806
761337,1428,8240,-17128,4130,193,3050
761353,1716,8080,-16216,5028,753,2338
761365,2104,8420,-16148,5564,1256,2702
761377,1080,8360,-15676,5822,1214,3001
761389,-72,7556,-15672,5550,1530,2961
761401,-900,6804,-15740,5097,2620,3458
761413,-2036,5844,-15700,4619,3554,3964
761425,-2932,4784,-16556,4301,4602,4018
761439,-2952,3744,-16912,4114,5702,3733
761451,-2128,3784,-16864,3885,6119,3559
761463,-1692,3896,-16992,3625,6117,3545
761479,-1728,3956,-16832,3452,5874,3463
761491,-2084,3936,-16452,3427,6078,3204
761503,-2828,3760,-16100,3485,6606,2946
761515,-2816,3268,-15944,3778,8175,2751
761527,-2200,2188,-16020,3969,9624,3356
761539,-2108,1684,-15956,3963,10529,3245
761551,-964,1048,-16040,3829,10991,3236
761563,-508,396,-15684,3551,10828,2986
761575,-156,76,-15664,3190,10221,2735
761587,184,-668,-15940,2763,9824,2598
761604,1852,300,-16664,2014,6753,3955
761616,524,252,-17468,1809,6048,3154
761628,-168,472,-15852,1920,6336,1245
761640,-152,-928,-15692,2314,7558,2029
761652,-520,-2092,-16192,2676,9350,2311
761664,308,-1424,-16712,3448,11449,1547
761676,2856,-1224,-16640,3663,12682,1187
761688,3992,-568,-16968,3523,11737,937
761700,4704,-1456,-16584,3407,10659,1123
761712,5040,-2240,-16372,3331,9791,1561
761729,3716,-3252,-16560,3552,8795,1336
761741,7688,-3536,-15152,3485,8948,2577
761753,3444,-3748,-15028,3431,7459,1058
761765,5208,-4264,-15572,3296,7464,1656
761777,4052,-4712,-14460,3127,6393,2676
761789,3548,-5096,-13868,2746,6342,1991
761801,2864,-3876,-14116,2561,6640,1974
761813,2788,-3716,-14164,2565,7219,1624
761825,4008,-2812,-14288,2512,7744,1077
761837,4672,-1808,-14408,2273,7357,370
761853,6352,-1500,-14768,2269,6434,423
761865,6100,-1036,-14332,2218,5029,328
761877,6892,-136,-14008,2391,4433,394
761889,6880,664,-13868,2407,3331,752
761903,6948,224,-13488,2462,2385,1163
761915,7160,-692,-13048,2530,1679,1231
761927,5964,-724,-12088,2741,1625,1591
761939,5200,-1688,-11728,2698,1937,1352
761951,5524,-1492,-11780,2732,2387,1094
761963,5504,-444,-11708,3023,3539,408
761979,6488,16,-11760,2961,4339,797
761991,7036,-1136,-11220,2579,3916,1145
762003,8544,-1016,-11388,2134,2767,858
762015,8472,-568,-11556,1547,1586,1071
762027,5428,-292,-12456,912,141,973
762039,5624,-656,-11452,660,-248,-883
762051,4936,-1516,-11212,-278,230,-2710
762065,5096,-2676,-9400,-1126,1516,-4210
762077,7472,864,-11372,-1813,4249,-4131
762089,9944,1528,-12952,-2234,2360,-3597
762105,10168,-892,-15392,-3134,2097,-4885
762117,11496,-1732,-14868,-3216,959,-5878
762129,10924,-1264,-13964,-3939,716,-6740
762141,10384,-504,-13644,-4721,113,-7065
762153,10212,1148,-13328,-4604,476,-5934
762165,11600,1912,-13660,-5134,1521,-5262
762177,13136,2308,-13720,-5885,1959,-4456
762189,13824,2312,-12768,-7021,874,-3494
762201,12164,2704,-6828,-8366,-1416,-2890
762215,13556,2844,-11504,-9599,-3989,-2911
762231,12448,2860,-11176,-11126,-5345,-2818
762243,11420,2484,-10952,-12772,-6197,-2486
762255,9684,2440,-11036,-13500,-5673,-2136
762267,9120,3472,-11400,-14294,-4983,-2346
762279,9088,4820,-11620,-14687,-4663,-2632
762291,8496,6512,-10548,-15303,-3946,-2500
762303,8884,7604,-9960,-16330,-3063,-2415
762315,8932,8692,-9724,-17363,-1797,-2482
762327,8404,10408,-9156,-18293,-728,-2632
762339,8956,11748,-9112,-19245,900,-3680
762356,9172,14592,-7600,-20747,2864,-4316
762368,10096,15340,-7924,-22146,4136,-4140
762380,12540,14868,-9340,-22850,5283,-3963
762392,11812,13864,-9336,-23349,6756,-5743
