Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1036590,5844,-2300,-14992,950,-1104,-1249
1036602,5828,-2400,-14824,1124,-1053,-1238
1036614,5716,-2400,-15100,1314,-1053,-1294
1036626,5684,-2456,-15052,1516,-1006,-1356
1036638,5536,-2476,-14912,1670,-994,-1316
1036650,5596,-2584,-14868,1803,-1005,-1324
1036662,5600,-2572,-14984,1911,-1020,-1330
1036676,5640,-2824,-14900,2092,-1088,-1338
1036691,5584,-2904,-14692,2182,-1262,-1296
1036703,5364,-3092,-14712,2189,-1362,-1272
1036715,5336,-3136,-14720,2269,-1365,-1329
1036727,5300,-3196,-14548,2258,-1332,-1252
1036739,5284,-3352,-14572,2396,-1324,-1213
1036751,5220,-3316,-14604,2479,-1281,-1196
1036763,5132,-3488,-14432,2500,-1309,-1174
1036775,5216,-3624,-14732,2510,-1374,-1224
1036787,5152,-3744,-14452,2525,-1512,-1205
1036801,5140,-3848,-14588,2506,-1646,-1230
1036816,4888,-3888,-14164,2366,-1678,-1346
1036828,4948,-4012,-14064,2333,-1620,-1342
1036840,4976,-4180,-14132,2224,-1642,-1320
1036852,4920,-4100,-13992,2126,-1627,-1340
1036864,4928,-4188,-14052,1981,-1688,-1424
1036876,4884,-4220,-14124,1836,-1732,-1483
1036888,4728,-4136,-14088,1737,-1787,-1559
1036900,4740,-4184,-14072,1636,-1880,-1659
1036912,4892,-4148,-14116,1501,-1946,-1730
1036924,4808,-4116,-14168,1367,-2071,-1837
1036939,4888,-3980,-13928,1132,-2201,-2062
1036951,4812,-3984,-13984,948,-2335,-2207
1036963,4840,-3948,-14048,854,-2430,-2331
1036977,4740,-3960,-14156,707,-2559,-2358
1036989,4684,-3880,-14320,693,-2753,-2489
1037001,4580,-3884,-14384,561,-2952,-2618
1037013,4492,-3804,-14536,596,-3079,-2743
1037025,4408,-3852,-14376,613,-3183,-2850
1037037,4272,-4072,-14616,648,-3272,-2944
1037049,4056,-4012,-14568,602,-3379,-3106
1037064,3944,-4044,-14456,629,-3393,-3517
1037076,3820,-3804,-14504,717,-3339,-3845
1037088,3768,-3832,-14420,725,-3204,-4093
1037102,3752,-3816,-14712,913,-2992,-4395
1037114,3744,-3732,-14952,1023,-2836,-4704
1037126,3936,-3644,-14812,1181,-2682,-5039
1037138,3968,-3536,-14956,1401,-2562,-5364
1037150,4232,-3456,-14896,1542,-2591,-5643
1037162,4296,-3324,-14972,1690,-2734,-5938
1037174,4340,-3168,-14892,1845,-2874,-6161
1037189,4164,-3352,-14800,1989,-2954,-6396
1037201,4124,-3312,-14912,2092,-3052,-6612
1037213,4128,-3280,-14788,2165,-3138,-6870
1037225,4176,-3348,-14984,2191,-3222,-7228
1037237,4156,-3476,-14984,2282,-3207,-7591
1037249,4184,-3352,-14828,2319,-3234,-7823
1037263,4256,-3388,-15112,2255,-3618,-7745
1037275,4052,-3284,-14996,2438,-3516,-8054
1037287,4176,-3488,-14880,2371,-3433,-8347
1037299,4140,-3564,-14904,2220,-3581,-8575
1037314,4304,-3524,-14708,2280,-3645,-8788
1037326,4276,-3748,-14640,2210,-3841,-8983
1037338,4384,-3716,-14848,2158,-4070,-9265
1037350,4324,-3844,-14876,2085,-4154,-9583
1037362,4416,-3992,-14852,2034,-4352,-9703
1037374,4284,-4120,-14700,1937,-4535,-9925
1037388,4440,-4404,-14572,1785,-4618,-9825
1037400,4228,-4404,-14296,1787,-4617,-9773
1037412,4216,-4732,-14400,1670,-4585,-9696
1037424,4172,-4920,-14556,1676,-4464,-9655
1037439,4140,-5132,-14508,1647,-4033,-9519
1037451,4116,-5376,-14580,1632,-3742,-9523
1037463,4148,-5612,-14732,1678,-3562,-9433
1037475,4384,-5560,-14508,1654,-3437,-9418
1037487,4528,-5784,-14576,1623,-3509,-9449
1037499,4540,-5664,-14480,1572,-3546,-9494
1037511,4668,-5708,-14316,1473,-3657,-9666
1037523,4616,-5644,-14476,1428,-3690,-9795
1037535,4392,-5616,-14552,1368,-3640,-10001
1037549,4400,-5584,-14324,1366,-3531,-10220
1037564,4352,-5556,-14392,1468,-3320,-10311
1037576,4060,-5668,-14496,1505,-3099,-10418
1037588,3972,-5668,-14500,1518,-2733,-10606
1037600,4176,-5668,-14416,1614,-2317,-10768
1037612,4064,-5836,-14496,1601,-1968,-10795
1037624,4096,-5688,-14460,1600,-1537,-10884
1037636,4332,-5584,-14420,1658,-1201,-10948
1037648,4408,-5692,-14568,1693,-955,-10874
1037660,4432,-5884,-14260,1635,-903,-10843
1037674,4140,-5944,-14648,1532,-889,-10856
1037689,4308,-5920,-14828,1316,-792,-10733
1037701,4372,-6104,-15060,1230,-948,-10525
1037713,4524,-6056,-15176,936,-1285,-10271
1037725,4660,-6060,-15300,623,-1911,-10020
1037737,4428,-6140,-15420,225,-2776,-9939
