Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
23591,3704,-2436,-16028,349,-833,-669
23602,3716,-2536,-15944,161,-586,-508
23614,3596,-2732,-16064,231,-488,-636
23629,3744,-2788,-15968,195,-197,-615
23641,3672,-2812,-15948,135,-357,-607
23653,3852,-2700,-16228,-7,-179,-541
23665,4016,-2896,-16412,-49,-102,-535
23677,3824,-2816,-16592,62,16,-386
23689,3448,-2740,-16660,145,-277,-373
23701,3352,-2700,-16740,240,-283,-383
23723,3796,-2736,-16116,506,-620,-666
23735,4000,-2644,-15948,140,-362,-415
23747,3700,-2776,-16264,45,-402,-375
23759,3692,-2924,-16176,201,-351,-413
23772,3104,-2740,-16012,69,-591,-249
23784,3144,-2684,-15716,0,-859,-570
23796,3884,-2640,-15612,-279,-848,-722
23808,3644,-2984,-16252,-414,-54,-466
23820,3156,-2932,-16504,-172,37,-465
23832,3168,-2812,-16424,-95,-287,-388
23849,3296,-2964,-16204,-266,-1019,-415
23861,4088,-3188,-16488,-483,-1267,5
23873,4296,-3340,-16772,34,-499,202
23885,2292,-2772,-16444,263,-1135,638
23897,3080,-2340,-16020,167,-1617,176
23909,2940,-2436,-15872,-401,-2610,154
23921,3012,-2460,-15640,-573,-2408,-157
23934,3368,-2556,-16088,-752,-1560,5
23946,2836,-2584,-16704,-701,-1094,57
23958,1928,-2748,-17104,46,95,-782
23973,2072,-2384,-16240,-27,-1464,-1173
23985,3276,-2216,-15868,-823,-1706,-1305
23997,4068,-2376,-16928,-809,-127,-1578
24009,3656,-2768,-17504,-415,462,-1406
24021,2916,-2712,-17320,-23,513,-1376
24033,3060,-2668,-17408,9,-309,-1209
24045,3648,-2468,-16856,48,-1182,-1181
24057,4440,-2108,-16724,-189,-681,-1030
24069,4268,-2952,-17068,-56,-196,-843
24081,3324,-2636,-17076,224,-72,-542
24098,2484,-2472,-17216,-36,-961,-313
24110,2272,-2896,-17248,439,-862,-692
24122,2256,-2720,-16680,718,-1071,-686
24134,2660,-2236,-15728,568,-834,-1133
24146,3328,-2640,-16104,264,-536,-1380
24158,4080,-2632,-16356,77,403,-1438
24170,4420,-3288,-17520,-35,281,-429
24182,2368,-3284,-17800,860,-143,-128
24194,1704,-2660,-16856,1301,-1167,-600
24206,2424,-2428,-15416,789,-2952,-1187
24221,5264,-2548,-14724,40,-1896,-1046
24233,5152,-2788,-15196,-199,314,-715
24245,3768,-2960,-15500,-632,91,-381
24257,2952,-2980,-16012,-721,-300,-307
24270,3008,-2904,-16024,-559,-910,-474
24282,2512,-2660,-15800,-716,-1322,-733
24294,4168,-2788,-16220,-587,119,-1080
24306,3632,-2664,-16252,-697,-125,-547
24318,3272,-2612,-16532,-521,623,-437
24330,2768,-2836,-16856,-363,-47,-201
24345,2892,-2672,-16332,-478,-982,-29
24357,2444,-2816,-16228,-404,-443,48
24369,2632,-2500,-16152,-601,-1279,118
24381,1888,-2464,-16464,-472,-155,-554
24393,3400,-2760,-16588,-630,-1132,-749
24405,3364,-2596,-16936,-725,-435,-296
24417,4804,-3088,-17724,-655,-1190,21
24431,2932,-2644,-18000,-596,-1326,1107
24443,1972,-2576,-17896,-93,-1594,636
24455,3092,-2152,-18332,76,-1502,823
24470,3764,-2152,-17860,166,-3116,367
24482,4720,-2348,-17812,-70,-1690,264
24494,5328,-2700,-19240,-249,-1777,969
24506,4124,-2196,-18772,174,-2484,1340
24518,4712,-2332,-20412,-203,-1946,2003
24530,4848,-2960,-22712,639,-1932,3208
24542,2736,-2656,-22788,1603,-3835,3283
24554,2592,-2820,-23460,2381,-5552,4531
24566,1944,-2352,-23260,2557,-8649,4627
24578,2764,-3992,-23044,3198,-10134,4573
24595,2220,-3684,-21800,3030,-12093,4466
24607,4180,-4904,-21848,3173,-10391,3791
24619,6284,-5888,-22208,2939,-9744,3879
24631,7584,-6760,-23872,3691,-5021,4480
24643,3992,-6068,-25760,3999,-1963,5786
24655,1604,-6328,-28056,5781,-2879,6525
24667,-332,-5940,-28272,8746,-3498,6272
24679,-1620,-4556,-26336,10296,-5994,5546
24691,548,-5324,-24812,11274,-5836,5643
24703,552,-5268,-22528,12001,-4839,5799
24720,712,-5332,-22516,13559,1138,6273
24732,-1736,-4996,-21884,14481,1129,6759
24744,-2732,-3140,-20604,14956,3759,5942
24756,-2916,-3892,-20956,14355,510,6327
24768,-2964,-4308,-20452,15929,3275,5087
24780,-3128,-3696,-19072,15367,684,5690
24792,-2796,-3904,-17840,15569,1284,4452
24804,-2644,-4176,-15468,15582,217,3846
24816,-2044,-3928,-14264,15171,1417,4144
24828,-1368,-3900,-13144,14317,1303,3877
24843,-2012,-4504,-10856,13203,-575,3442
24855,-2076,-4192,-8876,12379,-,-765,596,-1100
25028,-2756,-6568,-1808,-1894,-467,-1547
25040,-2228,-6180,-1284,-3462,-313,-1919
25054,-1796,-6316,-1516,-4961,-493,-2818
25066,-384,-6552,-2080,-6240,-509,-2536
25078,-532,-6440,-2720,-6782,846,-2317
25093,-1204,-6248,-4196,-7937,1282,-2213
25105,-2508,-5484,-5292,-8475,1308,-2512
25117,-3276,-4832,-6268,-9159,593,-3285
25129,-2784,-5288,-7376,-9325,-870,-4028
25141,-1368,-4936,-6920,-9418,-1183,-4637
