Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
94267,-13984,-6016,-5984,74,-583,-665
94278,-13176,-6020,-5500,-24,-225,-732
94290,-13168,-5952,-5640,-11,-319,-701
94310,-13736,-5980,-6056,-49,-90,-493
94322,-13844,-5992,-6072,55,-369,-658
94334,-13812,-6080,-6160,-28,-163,-615
94346,-13336,-5852,-6216,37,-461,-700
94358,-13004,-5888,-5936,-12,-159,-697
94370,-13316,-5900,-5940,36,-307,-608
94382,-13532,-6084,-6008,-26,-16,-438
94404,-13624,-6156,-5916,18,-216,-685
94416,-13584,-6052,-5952,27,-397,-708
94428,-13032,-6024,-5732,25,-308,-602
94440,-13392,-6028,-5648,-7,-205,-535
94453,-13704,-6092,-5828,16,-205,-582
94465,-13900,-6096,-5880,-29,-171,-591
94477,-13788,-6056,-6080,15,-425,-679
94489,-13364,-6080,-5928,-4,-283,-739
94501,-13164,-6032,-6004,-11,-274,-624
94513,-13304,-5984,-5892,27,-233,-531
94530,-13648,-6052,-6136,19,-193,-599
94542,-13644,-5992,-6108,16,-268,-632
94554,-13572,-6080,-6168,13,-303,-656
94566,-13256,-6040,-5976,23,-361,-637
94578,-13228,-5924,-5744,9,-212,-542
94590,-13600,-6052,-5876,21,-224,-543
94602,-13788,-6068,-6020,0,-249,-616
94615,-13784,-6204,-5864,9,-237,-675
94627,-13476,-6104,-6004,-16,-318,-634
94639,-13280,-6060,-5552,32,-314,-608
94654,-13512,-6148,-5820,12,-285,-602
94666,-13592,-6040,-5908,-13,-140,-590
94678,-13740,-6072,-6044,37,-235,-634
94690,-13580,-6160,-6088,20,-272,-684
94702,-13420,-6000,-6156,18,-365,-643
94714,-13208,-5732,-6100,12,-226,-590
94726,-13456,-5840,-5896,22,-244,-571
94738,-13620,-6084,-6008,-13,-137,-604
94750,-13580,-6104,-6044,40,-249,-624
94762,-13628,-6172,-5988,14,-308,-608
94779,-13404,-5856,-5796,4,-266,-579
94791,-13352,-5860,-5660,6,-304,-628
94803,-13532,-6084,-5872,5,-113,-632
94815,-13692,-6096,-5948,22,-328,-595
94827,-13596,-6120,-5812,-33,-197,-620
94839,-13628,-6048,-6032,12,-375,-646
94851,-13376,-6068,-5760,-2,-208,-602
94863,-13412,-5808,-5928,20,-267,-596
94875,-13460,-5992,-5992,-17,-178,-665
94887,-13688,-6072,-6120,11,-258,-625
94902,-13484,-5984,-6088,37,-372,-587
94914,-13528,-6040,-6180,-11,-209,-577
94926,-13360,-5940,-5884,51,-359,-640
94938,-13464,-6008,-5900,3,-146,-632
94951,-13532,-6144,-6000,15,-233,-567
94963,-13580,-5968,-5968,24,-284,-587
94975,-13688,-6100,-5760,13,-279,-643
94987,-13608,-6012,-5840,10,-276,-597
94999,-13464,-6000,-5872,-2,-275,-629
95011,-13372,-5992,-5928,14,-194,-663
95026,-13516,-6116,-5944,9,-224,-591
95038,-13676,-6088,-5936,29,-316,-616
95050,-13480,-5872,-6064,-11,-208,-616
95062,-13316,-6024,-6000,40,-310,-658
95074,-13364,-6104,-6012,-3,-192,-672
95086,-13436,-6020,-6112,24,-262,-564
95098,-13648,-6036,-6092,8,-274,-593
95112,-13572,-6032,-5988,-22,-173,-601
95124,-13524,-6028,-6028,39,-397,-637
95136,-13644,-6072,-5840,-14,-190,-642
95151,-13444,-6068,-5912,1,-191,-582
95163,-13556,-6060,-5736,5,-289,-585
95175,-13560,-6076,-5844,-15,-174,-623
95187,-13560,-5992,-5924,25,-319,-591
95199,-13496,-5884,-5892,-15,-234,-646
95211,-13344,-6064,-5984,28,-302,-677
95223,-13388,-6088,-6044,-38,-204,-611
95235,-13400,-5996,-6132,18,-293,-561
95247,-13540,-6060,-6032,-14,-208,-631
95259,-13532,-6020,-6180,34,-286,-665
95276,-13340,-5992,-6136,19,-346,-636
95288,-13468,-5984,-6080,3,-230,-569
95300,-13564,-5940,-5936,29,-313,-599
95312,-13636,-6000,-5900,2,-217,-595
95324,-13640,-6120,-5896,37,-226,-656
95336,-13560,-6176,-5928,42,-289,-564
95348,-13628,-6024,-5700,36,-223,-619
95360,-13472,-6068,-5860,15,-352,-639
95372,-13456,-6068,-6096,-8,-116,-555
95384,-13632,-6084,-5956,14,-313,-624
95399,-13608,-6088,-6016,-13,-207,-699
95411,-13432,-6088,-6056,46,-363,-660
95423,-13480,-6040,-6000,-18,-143,-547
95435,-13552,-5968,-5948,62,-378,-635
95449,-13500,-6060,-6052,-7,-188,-633
95461,-13516,-5964,-6144,43,-335,-586
95473,-13580,-6080,-5944,-14,-227,-598
95485,-13500,-5968,-5904,41,-276,-634
95497,-13444,-6056,-5856,-3,-206,-613
95509,-13576,-6060,-5824,44,-308,-572
95524,-13536,-6080,-5796,34,-281,-617
95536,-13508,-6100,-6016,-45,-204,-620
95548,-13540,-6032,-5856,49,-338,-625
95560,-13516,-5988,-5984299,-586
95733,-13480,-5916,-6024,20,-248,-616
95745,-13580,-6084,-6004,7,-251,-647
95757,-13536,-5992,-6032,-12,-244,-626
95774,-13528,-5956,-6084,21,-232,-591
95786,-13536,-6000,-6160,-9,-247,-597
95798,-13492,-5988,-5896,111,-268,-552
95810,-13564,-6012,-5960,22,-21,-555
95822,-13352,-5892,-5932,292,-780,-409
95834,-13660,-5896,-6160,77,153,-648
95846,-13472,-6300,-5900,137,-283,-621
95858,-13712,-5984,-5724,115,-307,-682
95870,-13356,-6052,-6048,-16,-240,-575
95882,-13636,-5988,-5848,19,-16299,-586
95733,-13480,-5916,-6024,20,-248,-616
95745,-13580,-6084,-6004,7,-251,-647
95757,-13536,-5992,-6032,-12,-244,-626
95774,-13528,-5956,-6084,21,-232,-591
95786,-13536,-6000,-6160,-9,-247,-597
95798,-13492,-5988,-5896,111,-268,-552
95810,-13564,-6012,-5960,22,-21,-555
95822,-13352,-5892,-5932,292,-780,-409
95834,-13660,-5896,-6160,77,153,-648
95846,-13472,-6300,-5900,137,-283,-621
95858,-13712,-5984,-5724,115,-307,-682
95870,-13356,-6052,-6048,-16,-240,-575
95882,-13636,-5988,-5848,19,-164,-627
95899,-13540,-5948,-5952,52,-119,-661
95911,-13544,-6108,-5904,-34,-350,-649
95923,-13580,-5976,-5972,44,-142,-631
95935,-13500,-6016,-5896,-3,-356,-590
95947,-13428,-5868,-5880,24,-188,-637
95959,-13500,-5944,-6044,-7,-282,-574
95971,-13560,-6044,-6176,29,-210,-601
95983,-13632,-6092,-5944,18,-273,-632
95995,-13668,-6008,-6088,32,-287,-597
96007,-13432,-6116,-5876,11,-260,-591
96022,-13500,-5932,-5984,-10,-292,-574
96034,-13552,-6020,-5948,26,-210,-646
96046,-13552,-5980,-6072,-16,-265,-627
96058,-13548,-6108,-5928,57,-259,-605
96072,-13544,-6036,-5992,-11,-238,-621
96084,-13544,-5932,-5900,27,-314,-620
96096,-13448,-5972,-5952,7,-241,-621
96108,-13620,-6020,-5816,-2,-239,-613
96120,-13468,-6024,-6156,16,-201,-652
96132,-13496,-6132,-6000,9,-274,-618
96147,-13524,-6056,-6064,41,-229,-553
96159,-13536,-5940,-5920,39,-298,-608
96171,-13476,-5960,-5972,17,-187,-609
96183,-13476,-6000,-5904,20,-318,-628
96195,-9736,1312,-6084,-531,-1310,7774
96207,-11248,-5916,-6900,-1026,4735,10025
96219,-13076,-7584,-4708,894,11950,12128
96233,-14500,-3900,-8224,-111,3644,9521
96245,-13252,-5452,-5940,225,3559,6463
96257,-14068,-5692,-6460,364,3059,6021
96272,-14140,-4076,-7880,-57,2631,1562
96284,-14172,-4868,-9568,2170,3178,3751
96296,-13244,-4416,-7272,5057,6214,4370
96308,-14132,-4876,-5368,5126,5909,-191
96320,-17900,-3136,-5220,334,6237,-11286
96332,-17872,-5984,-7360,-1827,-3864,-5452
96344,-12264,-6052,-8244,-948,-3292,-8344
96356,-14332,-5956,-8528,-2450,-3011,-6387
96368,-15308,-7744,-9372,-1943,-3356,-4990
96380,-14876,-5944,-8596,-851,-3553,-5580
96397,-13496,-6676,-7760,-2153,2700,-11545
96409,-16644,-6564,-7368,-1497,3500,-14501
96421,-15444,-7156,-6780,-1471,5734,-18939
96433,-11492,-9416,-8996,-1753,10666,-24455
96445,-13968,-7060,-9592,-351,14433,-22878
96457,-14916,-9296,-10384,-1436,16588,-20782
96469,-14460,-9236,-9204,-1728,14936,-17298
96481,-16036,-10540,-10128,-3085,9326,-8464
96493,-14888,-11084,-10336,-2836,3889,-126
96505,-16332,-10152,-10936,-2729,-2195,3747
96522,-14636,-8068,-12224,-3031,-4907,3968
96534,-14756,-8052,-12172,-3447,-4771,3428
96546,-14732,-8024,-11892,-3676,-5096,4065
96558,-14620,-7872,-11696,-3752,-5757,5190
96570,-14460,-7700,-11456,-3728,-6085,5847
96582,-14412,-7588,-11128,-3905,-5280,6589
96594,-14816,-7460,-10892,-3726,-4752,7301
96606,-15440,-6696,-11728,-3882,-4022,7980
96618,-15764,-6312,-11676,-4705,-4126,8120
96630,-16160,-6260,-11604,-5426,-5098,7093
96645,-15480,-6164,-10796,-5559,-5510,6277
96657,-15852,-6224,-11168,-5571,-5128,5892
96669,-17304,-7256,-9916,-5222,-6000,5209
96683,-15864,-6660,-9628,-4864,-7355,5392
96695,-15652,-6360,-9772,-5097,-7771,5901
96707,-14928,-5880,-9620,-5383,-6917,5958
96719,-15276,-5476,-9792,-5517,-6173,6410
96731,-14896,-5200,-9712,-5617,-6061,7604
96743,-16268,-5376,-9992,-5506,-6405,7872
96755,-16248,-5292,-9840,-5730,-7275,7623
96770,-16172,-5360,-8908,-5811,-7653,8479
96782,-15680,-5016,-8632,-5798,-7956,9136
96794,-14656,-4764,-7708,-5856,-7314,9580
96806,-13820,-4436,-7356,-6149,-6119,9921
96818,-14564,-4384,-7428,-6331,-5360,9737
96830,-14740,-4124,-6992,-6169,-5706,9623
96844,-13112,-2828,-6532,-6027,-6896,9830
96856,-12260,-2496,-5760,-5460,-7500,9486
96868,-11844,-2672,-4644,-4517,-7601,8037
96880,-10944,-2188,-4220,-3738,-7317,7260
96895,-10472,-2016,-3480,-3094,-6997,7180
96907,-9448,-1680,-2764,-2865,-6056,7516
96919,-8632,-1140,-2280,-2835,-4620,8048
96931,-8844,-972,-2248,-2736,-3634,7910
96943,-8948,-856,-2152,-2564,-3053,7062
96955,-8808,-444,-2204,-2430,-2703,6714
96967,-8928,-720,-1664,-2246,-2795,6252
96981,-9024,-732,-1212,-1910,-3658,5289
96993,-6976,300,-1012,-2159,-3565,5238
97005,-6068,272,-216,-1655,-3708,5140
97020,-5256,680,568,-800,-2182,3852
97032,-4984,1288,124,-452,-621,2704
97044,-5796,976,-96,-165,264,2018
97056,-6408,584,-252,298,50,1179
97068,-5632,736,-428,762,78,981
97080,-6140,916,-1316,1083,718,216
97092,-6480,1156,-1736,1060,1199,-670
97104,-7520,964,-2012,1015,1241,-1441
97116,-7260,812,-1936,1120,934,-1815
97128,-6708,1048,-1824,1445,782,-2337
97145,-6944,-964,-3168,2202,277,-2621
97157,-18068,7796,-16020,-3032,-14128,16034
97169,-896,4392,2704,1337,709,-6589
97181,-4848,764,176,657,6739,-14305
97193,-11732,-2256,-3332,1303,5859,-8106
