Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
40585,-14128,-6328,-3412,148,-293,-706
40596,-14044,-6388,-3332,-45,-217,-719
40608,-14084,-6484,-3376,-22,-186,-642
40623,-14200,-6248,-3464,-46,-172,-590
40635,-14204,-6420,-3396,-37,-301,-612
40647,-14192,-6396,-3640,24,-239,-652
40659,-14084,-6320,-3376,64,-308,-668
40671,-14084,-6300,-3336,46,-376,-629
40683,-13880,-6296,-3352,-100,-2,-628
40695,-13984,-6336,-3492,10,-244,-548
40717,-13888,-6072,-3684,146,707,-1235
40729,-14504,-6640,-3288,147,571,-1177
40741,-14040,-6364,-3532,169,-72,-705
40753,-13968,-6204,-3464,94,-313,-630
40766,-13992,-6344,-3252,169,-51,-901
40778,-14080,-6500,-3208,-3,-88,-843
40790,-14360,-6476,-3268,17,-261,-692
40802,-14068,-6448,-3284,26,-166,-584
40814,-14124,-6296,-3244,-38,-443,-610
40826,-14172,-6248,-3320,51,-226,-758
40843,-13984,-6296,-3356,22,-60,-675
40855,-14032,-6312,-3652,-17,-250,-653
40867,-14172,-6500,-3532,30,-217,-655
40879,-14128,-6308,-3508,17,-230,-547
40891,-14288,-6240,-3388,-12,-371,-529
40903,-14156,-6316,-3360,81,-272,-765
40915,-14004,-6420,-3388,-68,-130,-721
40928,-14164,-6352,-3488,9,-263,-618
40940,-14044,-6336,-3296,-1,-221,-647
40952,-14056,-6324,-3460,-27,-200,-694
40967,-14100,-6384,-3600,-54,-163,-626
40979,-14156,-6420,-3456,-68,-333,-529
40991,-14452,-6492,-3048,-144,-953,-522
41003,-14148,-6244,-3468,55,613,-980
41015,-13360,-6528,-4024,-276,-300,-856
41027,-14264,-6384,-3232,-470,-903,-432
41039,-13888,-6100,-3456,-340,-299,-518
41051,-14064,-6544,-4100,32,81,-850
41063,-14288,-6184,-3504,-127,-503,-507
41075,-13968,-6204,-3404,-35,226,-843
41092,-14024,-6332,-3732,105,-293,-714
41104,-14028,-6364,-3336,48,-608,-638
41116,-14232,-6416,-3276,-6,2,-667
41128,-13996,-6420,-3576,-79,-237,-574
41140,-14052,-6300,-3408,71,-441,-556
41152,-14052,-6416,-3448,-23,-7,-708
41164,-14192,-6496,-3500,11,-360,-647
41176,-14108,-6400,-3320,69,-204,-657
41188,-13968,-6436,-3504,-43,-285,-538
41200,-14256,-6420,-3496,9,-239,-589
41215,-14132,-6284,-3464,31,-217,-585
41227,-14224,-6256,-3392,30,-330,-573
41239,-14192,-6252,-3524,41,-232,-714
41251,-13944,-6440,-3576,13,-184,-672
41264,-14124,-6224,-3360,-3,-359,-542
